Match	Count	Cites
reporter	381	0
TABLE	381	0
MSA	381	3
Seurat	378	5115
outbreak	378	1
GTEx	377	4715
microscope	372	4
salt	369	8
GATK	368	14643
spike	364	48
prime	353	11
MAF	353	3
GENCODE	352	8223
meta	352	39
switches	352	0
Count	350	0
Metab	346	60
grade	345	0
ms	342	1553
MAFFT	342	24346
GSEA	341	35347
elastic	340	0
hydrophobicity	340	12835
finer	338	1
edgeR	336	25533
mirror	334	12
Bridge	334	17
stretch	328	78
samtools	328	39394
beads	327	93
inversion	327	29
Category	325	1901
dose	324	540
Bowtie 2	324	27457
dissect	323	10
COSMIC	322	1934
rectangles	320	0
safe	320	213
Filter	316	191
ClinVar	315	3494
nanopore	315	0
amplify	315	51
Picard	315	0
profound	314	323
Bravo	313	0
miRBase	313	2305
Real-time	307	24
discordant	307	21
saw	306	0
ArrayExpress	306	206
provision	305	15
fish	304	2
Fusion	304	12
Porter	300	33
CSS	299	375
Sherlock	297	2
camera	292	506
CAS	290	11
FastQC	289	0
HLA	289	5
Pairs	287	11
propagate	285	0
scratch	281	543
FAIR	281	0
NumPy	280	0
laser	280	88
clarity	279	0
suspect	277	2
SCOP	276	5528
collapse	275	5
snapshots	274	2
sra	273	1967
detector	271	0
XS	270	11
MEME	270	6
stream	268	2
flags	268	56
star	266	24352
holistic	266	6
tips	265	1
PyMOL	264	111
Seed	263	4
impute	262	0
ChEMBL	261	120
MUSCLE	260	27366
MCMC	260	21
Promoter	260	187
MAP	258	10
Omega	258	47
Primer	257	10
Vega	257	14
mosaic	257	15
readout	256	234
hide	255	16
R2	254	2
turnover	254	4
JASPAR	253	5850
hotspot	253	20
insect	251	10
Raphael	248	19
Entrez Gene	244	492
Signature	242	11
Manhattan	242	2
LSTM	240	3
glass	238	179
sea	238	8
super	238	6
merit	238	4
inclusive	236	27
OG	235	1
BLAT	235	5421
IGV	235	13139
melting	235	26
Spectrum	232	30
epoch	230	0
SIFT	228	2955
druggable	228	0
reactome	228	1005
fastqc	227	0
bed	226	1
antigenic	225	0
pore	225	55
Bento	225	13
nascent	224	2
edn	222	3
IntAct	222	987
NLP	221	8
looping	221	15
arrest	219	33
QSAR	219	48
bear	217	30
continuity	217	1
DSSP	216	8713
Timothy	216	0
price	213	153
Victor	212	3
Darling	212	9
Branch	210	0
RepeatMasker	209	0
pubmed	209	0
ABC	209	8
tailor	209	0
coil	208	6
belief	208	9
lens	208	7
Precise	207	4
comma	207	10
stacks	207	1493
toggle	206	11
PyTorch	206	0
SOAP	206	1737
TRANSFAC	206	5020
BioProject	205	197
Cufflinks	205	12728
TFBS	204	123
designate	204	5
cofactor	203	600
SMART	202	17
Biomarker	202	18
SBML	202	1464
Phred	202	3184
Rfam	202	1095
RDKit	201	0
isotope	201	0
Trimmomatic	201	518
spacer	201	45
Orange	201	77
consult	200	0
Heinz	199	1
TopHat	199	7919
air	199	80
trust	198	71
asymmetry	197	36
Snakemake	196	1143
smart	195	8108
decode	195	1119
scanner	194	0
GPS	194	35
XGBoost	194	15
ice	193	80
DO	193	410
TensorFlow	193	21
proline	191	0
Diffusion	190	40
finder	190	0
terminus	190	6
ChEBI	190	2
PubMed Central	190	285
PRIDE	189	1
Cutadapt	188	0
silent	188	0
pdb	188	19157
cgi	188	275
race	188	48
approve	186	183
guess	186	39
lighter	186	111
CATH	185	85
Diamond	185	5157
Biopython	185	2513
theme	184	4
Circos	183	5824
gate	180	48
simplex	180	0
merits	180	0
Shepherd	179	1
game	178	0
perceptron	178	2
authentication	178	0
spatio-temporal	176	20
Human Phenotype Ontology	176	0
prompt	176	21
revise	175	0
bedtools	174	13670
FlyBase	174	271
RStudio	174	0
PLINK	174	19206
HI	174	11
Feature extraction	173	12
Seal	173	116
quest	171	454
ample	171	53
cord	170	4
ViennaRNA	170	2444
Quake	169	294
pandas	168	0
DAG	168	12
shot	168	104
Cortex	167	321
digest	167	5
ties	167	0
beam	167	8
admixture	167	4081
Holden	167	0
chips	167	0
UniProtKB Swiss-Prot	166	362
pulse	166	19
MinION	166	26
Rho	165	2
Salmon	164	4956
oligo	164	941
rna	163	24
matplotlib	163	0
illumina	163	15
JBrowse	163	483
UK Biobank	163	70
promiscuous	161	105
SVs	161	283
BIC	161	6
NCBI GEO	161	8786
Sage	160	10
PROSITE	159	726
RSEM	159	684
trio	159	1901
GeneCards	157	737
numpy	157	0
sp	157	2
VCFtools	157	6701
TCR	157	15
RNN	156	8
HPO	156	428
Match	156	731
circRNA	156	10
slider	155	26
hint	155	51
swift	155	42
Pandas	155	0
gnomAD	154	6030
Trinity	154	13921
synergy	154	24
Record	153	167
Machado	153	0
ensembl	153	4287
road	153	0
contiguity	152	1
CADD	152	5695
mendelian	152	3
IBD	151	0
DESeq	151	9360
CASP	151	317
arcs	150	91
ANNOVAR	149	8740
wise	149	1757
bowtie	148	13563
FACS	148	26
harmonization	148	0
MetaCyc	147	626
MLP	147	0
illuminate	146	0
Garnett	145	219
C3	145	2
arc	144	0
SPAdes	144	13141
Chimera	144	24232
remedy	143	3
giant	142	10
clusterProfiler	142	15463
Clustal Omega	142	9088
console	141	17
Lisa	141	139
BEDTools	141	13670
FastTree	141	9602
Nextflow	141	1293
MACS	141	9859
grand	141	16
HISAT2	140	13107
DDBJ	140	100
circRNAs	140	157
smoother	140	0
grasp	140	8
kappa	139	4
Leon	139	26
MODELLER	139	12360
spring	139	34
inherit	138	9
attract	137	25
RAxML	137	22079
Jalview	136	5520
ena	136	41
stride	136	497
Mix	135	22
Snapshot	135	3
SMRT	135	16
TM-score	135	1038
EMBOSS	134	5557
fuse	134	1
SignalP	133	5407
AutoDock	133	7631
PseAAC	132	195
Sumer	132	16
sweep	132	0
modifier	131	8
birds	131	18
Velvet	131	6099
chimera	130	24243
CTD	130	7
facets	130	666
entail	129	5
pave	129	0
SAS	129	64
kegg	129	25777
sigma	129	53
Divergence	128	0
PSI	128	37
potato	128	0
minimap2	128	5294
SAGE	128	13
Yersinia	128	26
QIIME	127	16549
MaxQuant	127	8566
Matplotlib	127	0
Reveal	127	7
Quantum	127	1
ambient	127	9
Kraken	126	2130
tracts	125	5
asset	125	165
ESC	124	0
fever	124	0
forum	124	0
diamond	124	5157
progeny	124	321
bowtie2	124	27457
INPUT	124	17
miRTarBase	124	1128
catch	124	8
eggNOG	123	3940
Vargas	123	0
NCBI reference sequences	123	9477
WGCNA	123	11671
MCL	123	192
Nucleotide Sequence Database Collaboration	123	41
T2	122	0
BRENDA	122	1563
trap	122	35
StringTie	122	5242
WikiPathways	122	1209
Falcon	122	0
Chicago	121	241
Expression Atlas	121	328
Prodigal	121	0
movies	121	11
PSIPRED	120	6085
FISH	120	2
niches	120	0
ART	120	740
ProteomeXchange	120	1905
Isoform	119	4
galaxy	119	1376
PHYLIP	118	235
Flux	118	0
HMDB	118	2506
Pooling	118	6
BCFtools	117	36109
spin	117	3
GOA	116	266
gone	116	11
parties	116	24
AMBER	116	4146
sleep	115	12
digit	115	27
MMseqs2	115	1850
TAD	115	29
Kolmogorov	115	40
Fiji	114	28077
NGL	114	0
CPM	114	38
GPCRs	114	70
BAC	113	19
RAST	112	6980
Alfred	112	39
MINT	112	1886
bwa	112	33622
ribbon	112	31
cheap	111	1
Orphanet	111	194
bioproject	111	197
Dependency	110	83
Enrichr	110	3806
Director	110	1901
Palo	110	3
Flower	109	2
Bioconda	109	489
retina	109	17
Primer3	108	4391
CLIP	108	187
GDC	108	14
Matt	108	110
Notch	108	1
clue	108	0
SPARQL	108	0
Super	108	6
IEDB	108	16
BioPerl	107	26
summer	106	13
islet	106	4
Weka	106	0
VIC	105	27
ExAC	105	395
TCA	105	4
GEM	105	1052
InChI	104	0
cocktail	104	2
Binning	104	324
MUMmer	103	5030
WebLogo	103	7751
swarm	103	546
EEG	103	1
cBioPortal	103	18772
GBrowse	103	15
DAS	102	651
rhythm	102	13
GWAS catalog	102	5069
CDC	102	24
coils	102	2510
European Nucleotide Archive (ENA)	102	41
WormBase	102	111
plastid	101	105
Minimap2	101	5294
flower	99	2
arrayexpress	99	206
Quant	99	47
ARC	99	1
canvas	98	0
FANTOM	98	33
Artemis	98	3502
Taxa	97	0
Scan	97	0
epsilon	97	9
infrared	97	1
mid	96	0
CAD	96	4
copper	96	2
ChIA-PET	96	0
TMHMM	95	7704
inspire	95	6
OrthoMCL	95	3913
cons	95	0
tie	95	0
Partition	95	4
MET	95	6
refseq	95	9477
uniprot	95	17196
sponge	95	0
HMMER3	95	7834
TEs	94	42
biomaRt	94	3166
Anaconda	94	3
Pi	94	1901
bcftools	94	36109
bait	93	116
Leaf	92	0
ASTRAL	92	1487
ribosome profiling	92	23
ABySS	92	2349
transit	92	124
monkey	92	105
Taverna	92	152
Drug Targets	92	62
T7	92	5
SWISS-MODEL	92	23466
genbank	92	1328
mem	92	106
sRNA	92	20
VarScan	92	3723
ASD	91	94
Infernal	91	1620
EDTA	91	453
ACE	91	23
goat	91	56
alias	90	17
disc	90	15
sheep	90	2
HGMD	90	3226
needle	90	0
MEGAN	89	1631
BUSCO	89	8978
DREAM	89	8
PolyPhen-2	89	10071
AMR	89	0
PharmGKB	89	941
PhyML	89	21103
GRN	89	0
poly	89	20
FCS	89	0
cytoscape	89	24259
blur	88	3
SOURCE	88	257
gift	88	8
DSM	88	13
sim	88	39
fates	87	23
scRNA-Seq	87	2058
SNAP	87	1794
prep	87	21
tale	87	0
Flint	87	4
MG-RAST	86	1820
MAST	86	1432
QUAST	86	4697
Friend	86	19
happy	86	97
profit	86	0
bioconda	86	489
closes	86	0
echo	86	54
GeneMANIA	86	3060
fastp	85	8084
Harmony	85	16
ALS	85	20
Zika	85	0
SEED	85	30
prospect	85	6
connectome	84	0
elbow	84	1901
ATAC	84	102
Ensembl Genomes	84	306
SEM	84	1
HTSeq	84	11474
Spark	84	0
keyboard	84	0
Cistrome	83	477
Pareto	83	0
prints	83	53
Sierra	83	0
Linda	83	0
comorbidity	83	17
MAD	83	9
cleaner	83	11
framed	82	65
disambiguate	82	53
salmon	82	4956
wobble	82	0
IDR	82	0
rho	82	2
ape	82	4
Mapper	82	12
Hydrophobicity	81	12835
BioCarta	81	0
dose-response	81	0
frog	81	38
tangent	81	3
ARB	81	3927
CARD	81	1486
BioSystems	80	422
GenomicRanges	80	2193
meshes	80	1901
clonality	80	57
MEGA	80	106055
bat	80	9
k-fold	80	34
T-Coffee	79	4069
IQ-TREE	79	1696
superimpose	79	23
ChromHMM	79	1407
starBase	79	521
mpileup	79	1028
DSS	79	205
SPSS	79	0
MYB	79	19
shoot	78	0
dbNSFP	78	1548
radar	78	1167
MAQ	78	1719
ceRNA	78	6
pcp	78	21
Milo	78	0
SCC	77	0
I-TASSER	77	7899
silver	77	11
Phytozome	77	2440
scATAC-seq	77	154
pigs	77	161
bee	77	0
LRT	77	1
basics	77	200
IMA	76	2
Open Babel	76	3032
neoantigen	76	0
eds	75	159
STITCH	75	958
Foundry	75	3
phred	75	3184
SHAP	75	22
apex	74	736
CellProfiler	74	525
Metal	74	3099
lipidomics	74	40
COGs	74	3515
Boost	74	0
g:Profiler	74	4762
Prokka	74	8485
MLST	74	1283
PDBe	74	67
cutadapt	73	0
agile	73	11
gwas	73	0
genesis	73	1901
flash	72	5849
mast	72	1429
PhosphoSitePlus	72	994
Mash	72	1370
Sleep	72	12
AutoDock Vina	72	10941
CORE	72	0
twilight	71	28
ADME	71	11
MSI	71	13
PISCES	71	206
director	71	1901
LGG	71	98
TAG	71	17
Pathway Commons	70	642
LAMP	70	155
PASS	70	134
Reporter	70	0
omega	70	47
Eagle	70	10
Mfold	70	7988
PRISM	69	239
tablet	69	417
delve	69	3
NONCODE	69	232
SC3	69	655
lock	69	18
phantom	69	0
MAPS	68	67
affy	68	3
FFT	68	11
Cytoscape.js	68	319
clinvar	68	3494
Opera	68	119
strike	68	8
quartet	68	41
Plass	68	140
OMA	68	129
ACA	68	3
HHblits	67	1066
MetaboAnalyst	67	2145
DCA	67	360
SPP	67	581
theta	67	3
unphased	67	454
shear	67	4
coral	67	0
Ensembl Variant Effect Predictor	66	3637
PseKNC	66	177
CAT	66	17
TAP	66	27
PIR	66	217
GAT	66	135
ICA	66	24
specialize	65	4
POST	65	0
worms	65	61
fire	65	222
pro	65	69
spp	65	581
clip	64	187
Layers	64	0
MultiQC	64	3127
CORUM	64	448
RegulonDB	64	216
BEAST	64	12809
GREAT	64	2759
Genesis	64	1141
SMARTS	63	12
SOM	63	14
Swift	63	54
LAST	62	45
gsea	62	35347
International HapMap Project	62	8362
river	62	3
Swan	62	0
gentle	62	0
SOAPdenovo	62	1686
Dali	61	2867
pi	61	1901
MOST	61	33
pops	61	195
tap	61	18
FoldX	61	144
GOLD	61	1269
entrez	61	201
MAGIC	61	38
Starr	60	19
GSE	60	6
PAML	60	11195
rainbow	60	48
Bolt	60	10
Melanie	60	66
Bismark	60	2686
Hopper	60	8
Proline	60	0
CCP4	59	6759
FBA	59	7
portrait	59	53
WebGestalt	59	2294
GIS	59	5
Bracken	59	0
HMDD	59	13
dip	59	2016
RCSB Protein Data Bank	59	185
SUPERFAMILY	58	109
SELEX	58	1901
biomart	58	3166
LiftOver	58	0
interpro	58	6974
MolProbity	58	13899
vegan	57	0
triage	57	0
SSM	57	1
OpenMS	57	311
PDBbind	57	4
sva	57	1008
ADAM	57	0
OBO Foundry	57	75
CheckM	57	4775
Blast2GO	57	8973
ROC Curve	57	0
MrBayes	57	33529
Connectome	56	0
BioPortal	56	560
SEA	56	74
ProteoWizard	56	1635
D4	56	0
DepMap	56	1
GenePattern	56	1500
Viola	56	2
pest	56	0
EPIC	56	254
Therapeutic target database	56	219
GAP	56	25
grape	56	4
PubTator	56	263
RNAcentral	56	294
snakemake	55	1143
OrthoDB	55	236
cosmic	55	1934
harmony	55	16
cargo	55	9
FM-index	55	0
les	55	4
MEGAHIT	55	2838
circBase	55	994
Twilight	55	26
italics	55	17
Ancestor	55	141
Jellyfish	55	2014
SKCM	55	0
antiSMASH	54	3297
seqtk	54	4
aCGH	54	187
ISA	54	116
Open Targets	54	0
SSP	54	486
CAR	54	21
CRP	54	33
ICD-10	54	9
conquer	54	2
ReMap	54	511
EcoCyc	54	285
Mouse Genome Informatics (MGI)	53	250
IPA	53	10
CIBERSORT	53	6878
HADDOCK	53	3823
meat	53	1891
Mallard	53	0
Lucy	53	333
GMAP	53	1325
catalyst	53	0
Phusion	53	5405
gorilla	53	2050
HHpred	53	2411
snap	53	1642
Quality Assessment	52	18
FreeSurfer	52	3
M3	52	0
GERP++	52	1009
iris	52	37
AUGUSTUS	52	3602
ACL	51	2
Anchor	51	35
dbPTM	51	191
pysam	51	32293
CMS	51	13
kallisto	51	4576
qualifier	51	14
trim_galore	51	0
NES	51	3
sickle	51	0
Lemon	51	0
metagene	51	10
TRF	51	4685
LncRNADisease	51	8
DSB	51	0
heap	50	10
chaos	50	0
RING	50	119
IMP	50	146
Ensembl Compara	50	753
VISTA	50	4017
EGA	50	206
CAMERA	50	506
Swarm	50	546
BioJava	50	110
plink	50	19206
TTD	50	574
DDI	50	9
chip-seq	50	16
CAM	50	0
beat	50	1901
amber	50	4146
dipole	50	91
bats	50	1
pheatmap	50	0
tabix	50	0
stitch	50	958
DGIdb	50	0
Juicer	50	1538
merger	50	0
MutationTaster	50	6202
PAC	49	12
psi	49	29
remap	49	0
GRS	49	29
ICE	49	80
Spot	49	0
wgsim	49	0
A5	49	321
OrthoFinder	49	1667
GENESIS	49	1974
cox	49	5
Mauve	49	2856
EWAS	49	66
undo	49	33
palm	48	1
Biostrings	48	1901
Variant Effect Predictor (VEP)	48	3637
crosslink	48	1
harsh	48	17
Jasmine	48	4
aperture	48	0
GOstats	48	1324
supertree	48	41
NetMHCpan	48	204
Discovery Environment	47	3
Trim Galore	47	0
TCGAbiolinks	47	1905
MZmine	47	180
GSNAP	47	1487
LIPID MAPS	47	1779
maker	47	2077
hamster	47	0
protein solubility	47	11
adept	47	3
GSVA	47	6622
STS	47	0
decompress	47	5
JPA	47	0
dig	47	12
GMM	47	0
centrifuge	47	601
USEARCH	46	499
MNI	46	11
SummarizedExperiment	46	1901
IMG M	46	528
ray	46	625
MAS	46	1
CAFA	46	65
TNM	46	41
Brass	46	0
medaka	46	0
Coral	46	0
tensorflow	46	21
Geneious	46	8484
side-effects	46	4
CSA	46	9
GSC	46	48
GCA	46	4
SPM	45	5
banana	45	0
recombinase	45	5
hypergraph	45	1901
chembl	45	120
liftover	45	0
Harmonization	45	0
Pathway Tools	45	268
Ontology Lookup Service	45	200
SDM	45	503
zebra	45	5
IBS	45	497
ZT	45	0
GAN	45	17
marker-free	45	3
checker	45	0
identifiers.org	45	0
ols	45	200
agenda	45	3
Krona	44	898
tracer	44	4738
MetaboLights	44	322
ChemSpider	44	0
GENIE3	44	761
Mendel	44	73
Roary	44	2692
gatk	44	14643
montage	44	5
bbmap	44	0
PSA	43	177
das	43	651
pivot	43	8
firm	43	0
EPS	43	1
ComplexHeatmap	43	4086
stamp	43	412
Percolator	43	1249
SIDER	43	489
MIM	43	7
navigator	43	143
lights	43	0
circos	43	5824
Skyline	43	2575
Apollo	43	17
phylip	43	235
PROVEAN	43	1673
strawberry	43	21
Raven	42	0
HOCOMOCO	42	439
IMEx	42	298
MapSplice	42	624
Plastid	42	105
GEOquery	42	1520
DECIPHER	42	1931
blend	42	14
ega	42	206
spider	42	1842
chord	42	0
Glimmer	42	4318
endeavour	42	641
Melting	42	26
topGO	42	1296
GAD	41	0
RAD	41	14
scran	41	803
Prize	41	1901
Pepper	41	4
storm	41	1
Rhea	41	33
MobiDB	41	448
biopython	41	2513
GTDB	41	1251
FreeBayes	41	0
Nascent	41	2
FGF	41	4
TPP	41	0
RNAhybrid	41	1535
SeqAn	41	185
CPTAC	41	16
pfam	41	9338
treasure	41	0
minfi	40	464
mega	40	106055
ascent	40	22
ramp	40	22
SSA	40	20
nomogram	40	5
FASTX-Toolkit	40	367
Cascade	40	6
miRDB	40	1362
Merlin	40	2504
SGA	40	152
IgM	40	5
spotlight	40	1
Admixture	40	4081
ConSurf	40	298
ATLAS	40	629
ConsensusPathDB	40	524
SBGN	40	16
MMR	40	32
SCS	39	11
farms	39	149
alpine	39	85
HAMAP	39	96
CEM	39	46
MGF	39	0
matlab	39	0
ICC	39	0
Aird	39	0
dice	39	6
VisANT	39	513
Breeze	39	48
ARACNE	39	1142
Lnc2Cancer	39	121
Thesaurus	39	22
miner	39	59
VFDB	39	323
ACG	39	19
scanpy	39	2792
SIM	39	39
Perseus	39	321
pepper	39	4
Pindel	39	1292
ASAP	39	349
socket	38	225
Gene3D	38	7
BRAIN	38	23
STAMP	38	2577
MEROPS	38	1025
Shore	38	299
CellPhoneDB	38	1345
sift	38	2955
sam	38	219
Gemma	38	6
Scripture	38	783
tally	38	1
TCS	38	4208
ZDOCK	38	785
PRS	38	0
CAMI	38	7
Flye	38	2532
seurat	38	5115
ResFinder	38	2861
COPASI	38	1204
PeakSeq	38	350
GBS	38	3
randomize	38	0
QUALITY	37	100
microrna	37	1901
CNVnator	37	954
hepatotoxicity	37	8
CHG	37	28
PSICQUIC	37	243
SPIA	37	633
The Chemistry Development Kit	37	637
Iris	37	37
pine	37	13
Subread	37	1766
RMBase	37	221
PITA	37	0
TITAN	37	64
BioJS	37	86
MISO	37	866
PEP	37	0
sup	37	4
Gromacs	37	14001
intervene	37	0
OpenMM	37	926
SCOPe	37	392
unfold	36	42
Interactive Tree Of Life (iTOL)	36	8341
cardinal	36	121
BMRB	36	36
PROCHECK	36	3243
mosaics	36	63
Gene Expression Atlas	36	109
Allen Brain Atlas	36	383
DrugCentral	36	204
GBIF	36	0
organoid	36	25
Phospho.ELM	36	361
blight	36	8
EMDB	36	0
Rainbow	36	48
Housekeeping	36	104
MIRIAM	36	19
BioBERT	36	967
IIS	36	26
FAS	36	3
cue	36	0
gametes	36	61
neat	36	49
PCP	36	21
VIP	36	13
TCC	36	618
biosamples	36	61
SER	36	4
DDR	36	2
Comet	36	905
Octave	35	0
canopy	35	0
Centrifuge	35	601
rMATS	35	1249
TreeFam	35	333
PHAST	35	1361
Manta	35	1012
amend	35	0
cufflinks	35	12728
TMB	35	8
Phymm	35	258
STRIDE	35	497
Addgene	35	25
mothur	35	9922
BEAGLE	35	3635
Exomiser	35	201
TransDecoder	35	0
soma	35	0
larva	35	47
repo	35	2
MSS	35	3
Robetta	35	1028
Rsubread	35	1633
GeneMark	35	531
Oases	35	843
MCA	35	3
neXtProt	35	180
UniParc	35	98
Coot	34	34787
Clair	34	0
wtdbg2	34	634
ADC	34	1
demos	34	0
Arena	34	6
NVT	34	1
MPP	34	4
Retina	34	17
WashU Epigenome Browser	34	51
GCTA	34	4047
Exonerate	34	1494
hi	34	11
arena	34	6
cd-hit	34	11751
LNCipedia	34	158
Racon	34	8
GAG	34	38
PheWAS	34	718
Cellosaurus	34	0
Unicycler	34	3673
bio.tools	34	90
1000genomes	34	20227
uncalled	34	0
ANTs	33	9
bicluster	33	1
Gviz	33	2
wedge	33	10
aries	33	0
HSSP	33	384
Alphabet	33	11
PISA	33	6163
MMDB	33	148
GA4GH	33	90
biosystems	33	422
drugbank	33	1667
rtracklayer	33	438
ClusPro	33	1593
superpose	33	336
SNOMED CT	33	3
CGView	33	722
MCODE	33	2840
PicTar	33	3143
APL	33	39
GRASP	33	30
SOAP2	33	4407
Scansite	33	1942
BBMap	33	0
GenMAPP	33	590
HaploReg	33	1552
RNAstructure	33	14
SAP	33	9
BreakDancer	33	899
contest	33	168
FigTree	33	0
CyTOF	33	22
SKAT	33	277
isomiRs	33	24
needles	32	5
TargetP	32	2703
premier	32	17
VAST	32	562
CPC	32	1518
lncRNAdb	32	354
cfDNA	32	4
QuickGO	32	510
T1D	32	8
SOAPdenovo2	32	2673
triplex	32	19
HTP	32	1
Europe PMC	32	0
cycler	32	7
