PMCID,Sentence,NER_Tags,Topics
PMC11472622,CRITICAL: Notice that `adata` must be an AnnData object.,"(41, 48, 'anndata', 'anndata')",
PMC11067325,"(A) Number of features per pixel (left), number of counts per pixel (middle) and total number of metabolomes of each kidney anatomic region (right) in the processed AnnData.","(165, 172, 'anndata', 'anndata')",
PMC11067325,"The processed AnnData contains spatial information (x/y coordinates), uniform manifold approximation and projection (UMAP) coordinates and Leiden annotations for all metabolomes, as well as mass-to-charge (m/z) ratios, chemical formulas and molecule identities for all features.•The dataset is available on the METASPACE browser [2], allowing researchers to interactively visualize any metabolites of interest in each human kidney anatomic region.","(14, 21, 'anndata', 'anndata')",
PMC11067325,Cluster identities and anatomic region origins are included in the Anndata.obs columns (Fig.,"(67, 74, 'anndata', 'anndata')",
PMC9335200,"Self-BLASTp was performed using python script blast_rph.py (https://github.com/peterjc/galaxy_blast/blob/master/tools/blast_rbh/blast_rbh.py) in the galaxy_blast package (Cock et al., 2015).","(128, 137, 'blast_rbh', 'blast_rbh')",
PMC9335200,"Self-BLASTp was performed using python script blast_rph.py (https://github.com/peterjc/galaxy_blast/blob/master/tools/blast_rbh/blast_rbh.py) in the galaxy_blast package (Cock et al., 2015).","(118, 127, 'blast_rbh', 'blast_rbh')",
PMC7150583,"To identify 1:1 single-copy homologs in each haploid genome, the Reciprocal Best BLAST(p) Hits (RBBH) python script (github.com/peterjc/galaxy_blast/tree/master/tools/blast_rbh) was applied (Camacho et al.","(167, 176, 'blast_rbh', 'blast_rbh')",
PMC7150583,lagerheimii were identified using RBBH with 70% protein sequence coverage identity (github.com/peterjc/galaxy_blast/tree/master/tools/blast_rbh; Camacho et al.,"(134, 143, 'blast_rbh', 'blast_rbh')",
PMC8821821,Redundant proteins were also excluded by keeping only the BLAST Reciprocal Best Hits (RBH) (https://github.com/peterjc/galaxy_blast/tree/master/tools/blast_rbh) that were identified from comparisons of each EV-derived proteome (predicted using the Proteome Discover UniProt database) with the corresponding NCBI RefSeq strain-specific proteome (S.,"(150, 159, 'blast_rbh', 'blast_rbh')",
PMC11533350,"Default is 1--clusterOptional: The type of cluster to run MAGqual on a HPC system (available options: slurm), not to be used if running MAGqual locally--checkmdbOptional: The location of a local install of the CheckM database--baktadbOptional: The location of a local install of the Bakta database.","(283, 288, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11533350,"Default is 1--clusterOptional: The type of cluster to run MAGqual on a HPC system (available options: slurm), not to be used if running MAGqual locally--checkmdbOptional: The location of a local install of the CheckM database--baktadbOptional: The location of a local install of the Bakta database.","(227, 232, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11533350,These bins are analysed to determine completeness and contamination (using CheckM v1.0.13 [18]) and the number of rRNA and tRNA genes (using Bakta v1.7.0 [22]) that each bin encodes.,"(141, 146, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11533350,"As seen in Table 4, with the generated dataset of 10, 100, 500 and 1000 MAGs from [20], as the number of MAGs increases, the majority of runtime is assigned to Bakta, which, while only taking on average ~ 2.5 min per MAG, becomes significant when running 1000 MAGs.","(160, 165, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11351099,"Counts of hypothetical and uncharacterized proteins in annotations produced by Beav, Bakta, and RefSeq PGAP","(85, 90, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11351099,Beav takes a fasta nucleotide file as input and uses Bakta with a custom gene database to generate preliminary annotations.,"(53, 58, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11351099,"Beav and Bakta produced comparable numbers of annotated hypothetical proteins for all the genomes, which can be attributed to the Beav pipeline using Bakta for preliminary gene annotations.","(9, 14, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11351099,"Beav and Bakta produced comparable numbers of annotated hypothetical proteins for all the genomes, which can be attributed to the Beav pipeline using Bakta for preliminary gene annotations.","(150, 155, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11458892,"The annotated files produced by “Bakta” and the pan-genome results have been uploaded to Figshare36 at: 10.6084/m9.figshare.26054251.v1.Genome dataset: The dataset for the newly isolated 42 strains of Salmonella Gallinarum is available in the NCBI Sequence Read Archive (SRA) under BioProject PRJNA114371337,38.","(33, 38, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11458892,The output of Bakta was then used to calculate the Pan-genome matrix using Roary32 v3.13.0.,"(14, 19, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11458892,The annotated files produced by “Bakta” and the pan-genome results have been uploaded to Figshare36 at: 10.6084/m9.figshare.26054251.v1.,"(33, 38, 'Bakta', 'bakta')","Genomics, Data submission, annotation and curation, Sequence analysis"
PMC11094924,The WGS data of MTB isolates resistant to antibiotics were compared against the H37Rv reference genome using MUMmer4 to identify possible SNVs by the script ‘nucmer reference_file.fasta query_file.fasta out-file.delta show-snps -Clr out.delta’.,"(109, 116, 'MUMmer4', 'mummer4')",
PMC11094924,These MTB isolates were compared with H37Rv reference genome by MuMmer4 to identify SNVs.,"(64, 71, 'MUMmer4', 'mummer4')",
PMC11094924,"In this study, we obtained 716 MTB isolates tested by four antibiotics and identified the mutated SNVs by MuMmer4.","(106, 113, 'MUMmer4', 'mummer4')",
PMC11333564,The pipeline can be configured to include or exclude many-to-many mappings detected by MUMmer4.,"(87, 94, 'MUMmer4', 'mummer4')",
PMC11333564,"Firstly, cross-mapping is performed with MUMmer4 (Marçais et al.","(41, 48, 'MUMmer4', 'mummer4')",
PMC11513147,"The three T2T genomes including ‘DS’ (T2T version), ‘KFL’ and Pyrus pyrifolia Yuhong No.1 were aligned with each other by MUMmer4 with nucmer model (-c 1000 --maxgap = 500, identity >95 and length >15 kb).","(122, 129, 'MUMmer4', 'mummer4')",
PMC7793273,"This led us to evaluate the p-values of all factors higher than the original PscanChIP threshold, but still significant.","(77, 86, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC7793273,"Having gathered data with these stringent criteria, we initially performed two types of experiments: (i) evaluation of the enrichment of the CCAAT matrix in the peaks of ChIP-seq experiments of all TFs and cofactors, using the PscanChIP software.","(227, 236, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC7793273,PscanChIP predicts the presence of a positional bias between peak summits and the matrix of the factor (when available).,"(0, 9, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC7046753,"Different tools have been introduced for this task, including a tool we developed called PscanChIP (Zambelli et al., 2013b).","(89, 98, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC7046753,"Sequence analysis was performed with PscanChIP version 1.3 (Zambelli et al., 2013b) using the JASPAR 2018 collection of binding sites profiles (Khan et al., 2018), and the K562 background.","(37, 46, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC7046753,"PscanChIP is available both through a dedicated web interface, or as a standalone software package.","(0, 9, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC4889920,"To characterize better the results obtained for each of the TFs listed in Table 1, and to assess whether the CCAAT box motif could be considered the primary binding motif in case of global enrichment, we ran a second round of PscanChIP experiments, focusing on the subset of TF-bound regions overlapping with NF-YB peaks, as defined in the previous step, thus bound in vivo both by NF-Y and the individual TF.","(226, 235, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC4889920,"Differently from other motif enrichment analysis tools, PscanChIP evaluates motif enrichment in peak regions from ChIP-Seq experiments with two different criteria: global or local enrichment:","(56, 65, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC4889920,"For these, the enrichment found by PscanChIP was ‘local’, and overlap with NF-Y peaks marginal and not significant.","(35, 44, 'PscanChIP', 'pscanchip')","Sequence sites, features and motifs"
PMC10927331,Runtime comparison for 50 amino acid sequences and 50 UniProt Accessions submitted to gget elm and the ELM server API.,"(86, 90, 'gget', 'gget')","Biology, Computational biology, Omics"
PMC10927331,gget elm accurately reports the loss of the PALB2 interaction motif in the mutant sequence compared to the wild-type sequence: https://tinyurl.com/yc5r2b5m.,"(0, 4, 'gget', 'gget')","Biology, Computational biology, Omics"
PMC10927331,"⋙ ortholog_df, regex_df = gget.elm(“LIAQSIGQASFV”)","(26, 30, 'gget', 'gget')","Biology, Computational biology, Omics"
PMC11342028,"To ensure the specificity of the designed primer and probes for only one genomic location, we align oligonucleotides to the AgamP3 genome with BLAT, using the gget python package API ( Luebbert & Pachter, 2023).","(159, 163, 'gget', 'gget')","Biology, Computational biology, Omics"
PMC11342028,"Finally, users can check for specificity by aligning their designed primers to the genome with the gget implementation of Blat.","(99, 103, 'gget', 'gget')","Biology, Computational biology, Omics"
PMC9835474,"Sina Booeshaghi, Alessandro Groaz, Kristján Eldjárn Hjörleifsson and Ángel Gálvez-Merchán for insightful discussions about gget.","(123, 127, 'gget', 'gget')","Biology, Computational biology, Omics"
PMC9835474,"gget depends on the HTML parser beautifulsoup4 (Richardson, 2022), the Python MySQL-connector (Oracle, 2022) and the HTTP library requests (Reitz, 2022).","(0, 4, 'gget', 'gget')","Biology, Computational biology, Omics"
PMC9835474,"One exception to the online queries is gget muscle, which locally compiles the Muscle5 algorithm (Edgar, 2021) and therefore does not require an internet connection.","(39, 43, 'gget', 'gget')","Biology, Computational biology, Omics"
PMC11055464,Variomes (Pasche et al.,"(0, 8, 'Variomes', 'variomes')","Mapping, Literature and language, Gene expression, Pathology, Oncology, Rare diseases"
PMC9048643,"results retrieved by LitVar + results retrieved by Variomes), while LitVar retrieved on average 58.6%.","(51, 59, 'Variomes', 'variomes')","Mapping, Literature and language, Gene expression, Pathology, Oncology, Rare diseases"
PMC9048643,"In this context, we designed Variomes (Caucheteur et al., 2020), an original application to support the search of human variants.","(29, 37, 'Variomes', 'variomes')","Mapping, Literature and language, Gene expression, Pathology, Oncology, Rare diseases"
PMC9048643,"LitVar retrieves on average 6.1 documents per query, while Variomes returns 7.4 documents, corresponding to a relative recall gain of +21.3% per query.","(59, 67, 'Variomes', 'variomes')","Mapping, Literature and language, Gene expression, Pathology, Oncology, Rare diseases"
PMC10240481,Variomes [22] are a system that can perform triage of publication to support evidence-based decision.,"(0, 8, 'Variomes', 'variomes')","Mapping, Literature and language, Gene expression, Pathology, Oncology, Rare diseases"
PMC11055510,"(A) Venn diagram shows the miRNAs that can potentially bind to circMAN1A2 predicted using miRanda, regRNA2, and miRcancer.","(99, 105, 'RegRNA', 'regrna')","Functional, regulatory and non-coding RNA, Gene transcripts, Nucleic acid structure analysis, RNA splicing, Transcription factors and regulatory sites"
PMC11055510,"To further explore the molecular mechanism by which circMAN1A2 regulates OC proliferation, we screened miRNAs to identify possible targets of circMAN1A2 using three databases: miRanda (https://www.miranda.org/), regRNA 2.0 (https://www.lncrnablog.com/regrna-2-0-an-easy-to-use-web-server-for-identifying-regulatory-rna-motifs-and-functional-sites/), and miRcancer (http://mircancer.ecu.edu/).","(212, 218, 'RegRNA', 'regrna')","Functional, regulatory and non-coding RNA, Gene transcripts, Nucleic acid structure analysis, RNA splicing, Transcription factors and regulatory sites"
PMC11055510,"To further explore the molecular mechanism by which circMAN1A2 regulates OC proliferation, we screened miRNAs to identify possible targets of circMAN1A2 using three databases: miRanda (https://www.miranda.org/), regRNA 2.0 (https://www.lncrnablog.com/regrna-2-0-an-easy-to-use-web-server-for-identifying-regulatory-rna-motifs-and-functional-sites/), and miRcancer (http://mircancer.ecu.edu/).","(251, 257, 'RegRNA', 'regrna')","Functional, regulatory and non-coding RNA, Gene transcripts, Nucleic acid structure analysis, RNA splicing, Transcription factors and regulatory sites"
PMC10204308,"With the incessant rise in accumulations of genetic data and improving landscape of computational tools, the number of functional synonymous variants should dramatically increase over the next decade.Table 4Examples of studies that effectively used prediction tools to study disease-causing synonymous variantsDisease associationVariantPrediction toolDescriptionRefCrohn’s diseaseIRGM (c.313C > T)SnipMir, RegRNA, and Patrocles (miRNA)Synonymous variant predicted to delete a miRNA binding site, leading to increased risk for Crohn’s disease (validated to be the causal mechanism through experiments assessing IRGM regulation)[175]Cystic fibrosisΔF508 CFTR (c.1520_1522delTCT)mFold (mRNA structure)Synonymous site within the ΔF508 CFTR predicted to alter mRNA structure and stability and found to responsible for altered expression of the mutant protein[18, 176]Hemophilia BFIX [Factor IX] (c.459G > A)mFold, Kinefold, NUPACK (mRNA structure), RSCU, CAI (codon usage indices)mRNA structure prediction tools indicated a moderate reduction in mRNA stability, which coincided with diminished FIX expression through decreased translational speed[77]Hereditary cardiac arrhythmiahERG (codon-modified)RNAfold (mRNA structure)Codon modified hERG was predicted to have increased mRNA stability, resulting in altered translation of the ion channel[19]Pain sensitivityCOMT (3 haplotypes with synonymous variations [c.198A > G, c.186C > T, c.408C > G])mFold (mRNA structure)COMT haplotype with predicted highest mRNA stability correlated with the lowest activity and expression levels.","(406, 412, 'RegRNA', 'regrna')","Functional, regulatory and non-coding RNA, Gene transcripts, Nucleic acid structure analysis, RNA splicing, Transcription factors and regulatory sites"
PMC10493228,"In conventional design, linear RNA precursors must contain an array of MBSs to competitively and specifically neutralize miRNA with reverse complementarity, which allows circRNA to block a whole family of related miRNAs.306 MBSs are designed to match the mature sequences of targeted miRNAs, which can be identified by using databases such as miRBase, circBank, circNet, miRTarBase, CircInteractome, starBase v2.0 and regRNA 2.0.307–313 For the assembly strategy, the MBS elements in linear RNA precursors should contain mismatches rather than perfect antisense sequences, as perfectly base-paired sequences can form more stable interactions with miRNA and would be vulnerable to Ago2-mediated endonucleolytic cleavage.314,315 Much evidence shows that sponges containing interspersed mismatch sites misaligned with miRNAs are more effective in matching miRNAs.73,316,317 These mismatches can be designed to delete 1 or 3 bases from the MBSs, forming the bulge sites.317 Furthermore, the number of MBSs should be less than 12 because increasing the number may result in diminishing marginal utility.316 In addition, the insertion of spacers, which are scrambled sequences 12 bases in size, can synergistically reduce the risk of binding unintended intermediaries.73,318 Ultimately, the RNAhybrid tool can be used to verify the binding efficiency of designed circRNA sponge sequences to target miRNA sequences.319,320","(418, 424, 'RegRNA', 'regrna')","Functional, regulatory and non-coding RNA, Gene transcripts, Nucleic acid structure analysis, RNA splicing, Transcription factors and regulatory sites"
PMC9070616,"Functional annotation and pathway prediction were done using MetaPathways V2.524, a modular pipeline for open reading frame (ORF) prediction, functional and taxonomic annotation using the RefSeq database, ORF count normalization (for both sequencing depth and ORF length), and the creation of environmental pathway genome databases (ePGDBs) based on a well-curated database of metabolic pathways and components representing all domains of life24,25,49.","(61, 73, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC9070616,"To determine how organisms use energy sources available to them, MetaPathways V2.524 was used to assign metabolic pathways to the open reading frames (ORFs) and predicted metabolic pathways using pathwaytools25.","(65, 77, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC9070616,"MetaPathways V2.524 was used to annotate the assemblies using several databases including RefSeq26, KEGG47, and MetaCyc48.","(0, 12, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC5688066,Quality controlled reads from metatranscriptomes were mapped to identified ORFs of interest using bwa –mem51 and reads per kilobase per million mapped (RPKM) per ORF was calculated using RPKM calculation in MetaPathways 2.552.,"(207, 219, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC5688066,"Contigs making up Marinimicrobia population genome bins were run through MetaPathways 2.549,50 to annotate open reading frames (ORFs) and reconstruct metabolic pathways.","(73, 85, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC5876298,"A large number of software tools (ST) and databases (DB) have been produced for bioinformatic analysis, including Greengenes (DB; DeSantis et al., 2006), Ribosomal Database Project (RDP, DB; Cole et al., 2008), SILVA (DB; Quast et al., 2012), MEGA6 (ST; Tamura et al., 2013), and QIIME (ST; Caporaso et al., 2010) for 16S rRNA gene data analysis; and Kyoto Encyclopedia of Genes and Genomes (KEGG, DB; Ogata et al., 1999), The Carbohydrate-Active EnZymes (CAZY, DB; Cantarel et al., 2008), Clusters of Orthologous Groups of proteins (COGs, DB; Tatusov et al., 2001), MetaCyc (DB; Caspi et al., 2006), and RefSeq (DB; Pruitt et al., 2005), Transporter Classification Database (TCDB, DB; Saier et al., 2016), MetaPathways (ST; Konwar et al., 2013), RAxML version 8 (ST; Stamatakis, 2014), and Circos (ST; Krzywinski et al., 2009) for analyzing metagenomics, metatranscriptomics, and single genome data.","(707, 719, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC11416380,"Different software tools for processing LC-MS/MS raw data exist, e.g., xcms, MZmine, MS-DIAL, or commercial solutions from LC-MS/MS vendors or independent suppliers (Benton et al., 2008; Schmid et al., 2023; Tsugawa et al., 2020).","(77, 83, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11416380,"Data processing pipelines such as xcms, MZmine, MS-DIAL, or commercial software solutions ideally deal with different adducts, isotopes, and in-source fragments.","(40, 46, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11432749,"These developments are mostly driven by recent software innovations, with new data processing tools, such as MZmine 3, MS-DIAL, and XCMS, providing improved capabilities for exploring and processing raw MS data [90].","(109, 115, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11428429,The open-source cross-platforms MAVEN (latest version 2.10.17.7) [103] and MZmine 2 (v.2.14) [75] and open-source software IDEOM [74] are a few other examples that Misra did not report.,"(75, 81, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11428429,"Other open-source algorithms used for pre-processing are MZmine 2 [75], MetAlign [76], and MS-Dial [77], but none of these algorithms are yet accepted as standard/ideal algorithms in metabolomics.","(57, 63, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11441702,"iPHoP differs from existing HPTs since it can return 0, 1, or multiple predicted hosts for a given virus.","(0, 5, 'iPHoP', 'iphop')",
PMC11441702,"Because iPHoP outputs multiple predictions, both the highest scoring prediction (“iPHoP bp”) and the full set of predictions (“iPHoP”) were reported.","(127, 132, 'iPHoP', 'iphop')",
PMC11441702,"Because iPHoP outputs multiple predictions, both the highest scoring prediction (“iPHoP bp”) and the full set of predictions (“iPHoP”) were reported.","(82, 87, 'iPHoP', 'iphop')",
PMC11441702,"Because iPHoP outputs multiple predictions, both the highest scoring prediction (“iPHoP bp”) and the full set of predictions (“iPHoP”) were reported.","(8, 13, 'iPHoP', 'iphop')",
PMC11441702,We considered separately the best prediction by iPHoP versus the set of hosts predicted by iPHoP when evaluating its performance on the complete host range studies.,"(48, 53, 'iPHoP', 'iphop')",
PMC11441702,We considered separately the best prediction by iPHoP versus the set of hosts predicted by iPHoP when evaluating its performance on the complete host range studies.,"(91, 96, 'iPHoP', 'iphop')",
PMC11281440,"Inovirus genomes identified in lemur oral samples were predicted to infect bacteria in the genera Mesocricetibacter, Acinetobacter, Moraxella, Neisseria, Rodentibacter, and Aggregatibacter based on iPHoP [50] analysis (Table S2).","(198, 203, 'iPHoP', 'iphop')",
PMC11281440,"Inovirus genomes identified in lemur fecal samples were predicted to infect bacteria in the genera Ruthenibacterium, Enterocloster, and Thomasclavia through iPHoP [50] analysis (Table S3).","(157, 162, 'iPHoP', 'iphop')",
PMC11281440,"Based on iPHoP [50] analysis of predicted hosts with >90% confidence scores, microviruses in lemur fecal samples were predicted to infect bacteria within the genera Alistipes, Arcticibacter, Bacteroides, Barnesiella, Buttiauxella, Duodenibacillus, Dysosmobacter, Faecalibacterium, Limivicinus, Mailhella, Mediterranea, Murdochiella, Odoribacter, Parabacteroides, Parasutterella, Phascolarctobacterium, Phocaeicola, Prevotella, Scatacola, Succinivibrio, and Treponema (Figure 14; Table S3).","(9, 14, 'iPHoP', 'iphop')",
PMC11327921,We used the software SLiM 4.2.2 (Haller and Messer 2023) and input the C3H pedigree in order to replicate the MA experiment.,"(21, 25, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11327921,The SLiM script used to measure variation in the count of mutations among MA lines is available on GitLab: https://gitlab.com/elcortegano/SLiM_recipes.,"(4, 8, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11327921,The SLiM script used to measure variation in the count of mutations among MA lines is available on GitLab: https://gitlab.com/elcortegano/SLiM_recipes.,"(138, 142, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11327921,"From the output returned by SLiM, mutations were filtered so that they were unique among the sequenced MA samples, as in the actual experiment.","(28, 32, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11357015,The GO levels provide a broad overview of the ontology content from the minimal GO-Slim ontology set.,"(83, 87, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
