PMCID,Sentence,NER_Tags,Topics
PMC11402778,"Reprocessing of the data using MZmine to deconvolute the results (to take account of the isotopic contribution, for example) and obtain a matrix in which one line corresponds to one compound.","(31, 37, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11402778,"MS and MS/MS spectra were extracted using MZmine 2.51 with a mass detection noise level set to 1E3 and 1E0, respectively.","(42, 48, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11441702,We considered separately the best prediction by iPHoP versus the set of hosts predicted by iPHoP when evaluating its performance on the complete host range studies.,"(48, 53, 'iPHoP', 'iphop')",
PMC11441702,We considered separately the best prediction by iPHoP versus the set of hosts predicted by iPHoP when evaluating its performance on the complete host range studies.,"(91, 96, 'iPHoP', 'iphop')",
PMC11441702,"Because iPHoP outputs multiple predictions, both the highest scoring prediction (“iPHoP bp”) and the full set of predictions (“iPHoP”) were reported.","(127, 132, 'iPHoP', 'iphop')",
PMC11441702,"Because iPHoP outputs multiple predictions, both the highest scoring prediction (“iPHoP bp”) and the full set of predictions (“iPHoP”) were reported.","(82, 87, 'iPHoP', 'iphop')",
PMC11441702,"Because iPHoP outputs multiple predictions, both the highest scoring prediction (“iPHoP bp”) and the full set of predictions (“iPHoP”) were reported.","(8, 13, 'iPHoP', 'iphop')",
PMC11441702,"iPHoP differs from existing HPTs since it can return 0, 1, or multiple predicted hosts for a given virus.","(0, 5, 'iPHoP', 'iphop')",
PMC11281440,Microvirus host taxonomy to the genus rank was predicted using iPHoP [50].,"(63, 68, 'iPHoP', 'iphop')",
PMC11281440,"The predicted bacterial host genus, determined from iPHoP [50], of complete bacteriophage genomes from the Inoviridae and Microviridae families and Caudoviricetes order identified in this study from fecal and oral samples of diverse lemur genera (Varecia, Eulemur, Lemur, Propithecus).","(52, 57, 'iPHoP', 'iphop')",
PMC11281440,"Some phage genomes were predicted, with high confidence (>90% iPHoP confidence score), to infect bacteria across multiple genera.","(62, 67, 'iPHoP', 'iphop')",
PMC11473683,"Equally, 30/82 (37%) of SLiM-positive patients have accompanying CRAB criteria.","(24, 28, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11473683,"SLiM-CRAB-positive patients presented with either two (20/30, 67%), three (7/30, 23%), or four (3/30, 10%) features.","(0, 4, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11473683,"43 patients had more than one MDE with 3 (7%) patients having SLiM-only features, 10 (23%) patients having CRAB-only features, and 30 (70%) patients having SLiM-CRAB features.","(62, 66, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11473683,"43 patients had more than one MDE with 3 (7%) patients having SLiM-only features, 10 (23%) patients having CRAB-only features, and 30 (70%) patients having SLiM-CRAB features.","(156, 160, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11491431,KM curves of groups of OS from OS-all cohort (A) and OS-slim cohort (B).,"(56, 60, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11491431,"For the OS-slim cohort, which included 3,605 patients in the training set and 1,542 in the validation set with 14 clinical variables, the rfSRC_plus_stepCox combination displayed the highest mean C-index ( Figure 4D ) and 5-year AUC ( Figure 4E ) values of 0.742 and 0.782, respectively.","(11, 15, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11491431,"Clinical variables such as N stage, age, and T stage were identified as having the most significant impact on DM prediction in the DM-slim cohort ( Figure 3D ).","(134, 138, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11374441,"A slim cholangioscope (9-Fr eyeMAX; Micro-Tech, Nanjing, China) was inserted into the afferent loop via the EUS-HGS and hepaticojejunostomy anastomoses.","(2, 6, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11374441,Here we report antegrade metallic stenting using a slim cholangioscope for malignant afferent loop obstruction ( Video 1 ).,"(51, 55, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11374441,"A guide sheath (UMIDAS sheath cannula; UMIDAS Inc., Kanagawa, Japan) was inserted into the stricture and a biliary metallic stent with an ultraslim delivery system (YABUSAME Neo; KANEKA Medics, Tokyo, Japan) was successfully passed and placed through the guide sheath.","(143, 147, 'SLiM', 'SLiM_software')","Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology"
PMC11449484,"coli (strain s_6558), Klebsiella pneumoniae (strain 4300STDY7045912), and Salmonella enterica (strain 350627) were compared with Jalview.","(129, 136, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC11449484,coli were compared using Jalview.,"(25, 32, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC10714154,"Jalview v2.11.2.0 (Waterhouse et al., 2009)","(0, 7, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC10714154,"Before trimming, we perform manual inspection for sequence alignment using Jalview and exclude one sequence (in red rectangle) for its error alignment (Figure 2).","(75, 82, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC10714154,"Jalview a free cross-platform program for multiple sequence alignment editing, visualization, and analysis.","(0, 7, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC11475706,"A total of 316 sequences of PSEN1 were recovered from different vertebrates, and a multiple sequence alignment (MSA) was constructed using Jalview.","(139, 146, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC11475706,"Conservation of the HbYX motif in jawed vertebrates A total of 379 GPM6A sequences from jawed vertebrates were retrieved, and an MSA was constructed using Jalview, highlighting the conserved features of this protein.","(155, 162, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC11373567,"By contrast, ITHANET (https://www.ithanet.eu/; accessed on 17 April 2024) is a web portal initially conceived specifically for hemoglobinopathies, which, as of this writing, holds in its databases sequence and functional annotation for 3462 variants in 538 genes.","(34, 41, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,"By contrast, ITHANET (https://www.ithanet.eu/; accessed on 17 April 2024) is a web portal initially conceived specifically for hemoglobinopathies, which, as of this writing, holds in its databases sequence and functional annotation for 3462 variants in 538 genes.","(13, 20, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,"These databases are ClinVar, Global Variome shared LOVD, the Globin Gene Server/HbVar, the Malaysian Node of the Human Variome Project Database (MyHVPDb), and ITHANET.","(159, 166, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,The establishment of individual LOVD-based variant databases in GGN member countries and their integration with the ITHANET Portal as a central resource for hemoglobinopathies as part of this effort may be instrumental in initiating essential data-guided disease management in LMICs and in capturing the diversity of hemoglobinopathies as an international resource.,"(116, 123, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC10289560,We thank the Cyprus Institute of Neurology and Genetics for computer equipment and for hosting ITHANET.,"(95, 102, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC10289560,"IthaPhen is developed using a relational database management system based on MySQL and PHP and is fully integrated and interconnected with the existing infrastructure of the ITHANET portal.3,13 The content curation of IthaPhen is included in the existing ITHANET curation strategy with weekly updates, as previously described3,4 and documented in the ITHANET FAQ page (https://www.ithanet.eu/home/faqs), thus ensuring the sustainability and relevance of the database.","(174, 181, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC10289560,"IthaPhen is developed using a relational database management system based on MySQL and PHP and is fully integrated and interconnected with the existing infrastructure of the ITHANET portal.3,13 The content curation of IthaPhen is included in the existing ITHANET curation strategy with weekly updates, as previously described3,4 and documented in the ITHANET FAQ page (https://www.ithanet.eu/home/faqs), thus ensuring the sustainability and relevance of the database.","(255, 262, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC10289560,"IthaPhen is developed using a relational database management system based on MySQL and PHP and is fully integrated and interconnected with the existing infrastructure of the ITHANET portal.3,13 The content curation of IthaPhen is included in the existing ITHANET curation strategy with weekly updates, as previously described3,4 and documented in the ITHANET FAQ page (https://www.ithanet.eu/home/faqs), thus ensuring the sustainability and relevance of the database.","(351, 358, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC10289560,"IthaPhen is developed using a relational database management system based on MySQL and PHP and is fully integrated and interconnected with the existing infrastructure of the ITHANET portal.3,13 The content curation of IthaPhen is included in the existing ITHANET curation strategy with weekly updates, as previously described3,4 and documented in the ITHANET FAQ page (https://www.ithanet.eu/home/faqs), thus ensuring the sustainability and relevance of the database.","(381, 388, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC10289560,IthaPhen and all associated data are available via a web interface at https://ithanet.eu/db/ithaphen.,"(78, 85, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC10971618,Four groups of countries were identified based on data accessible on the ITHANET portal [9].,"(73, 80, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11466383,"This amount is more than double the estimated cost of medicines for treatment of outpatient pneumonia in Fiji [29]; in that study, the average cost of medicines ranged from $1.3 for Nausori PHC to $2.6 for CWMH (in 2020 values).","(105, 109, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Costs obtained in other years and/or different currencies converted to Fijian dollar using the average exchange rate in that year [21], adjusted to 2020 prices using GDP deflator [22], and converted back to US$ using 2020 exchange rates.","(71, 75, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"The Fiji costing study estimated the costs per bed day for the two hospitals (LTK and CWM), so we used the lower of the values to obtain conservative estimates.","(4, 8, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11525050,"The only two times the images are displayed to the users are in Cellpose for the determination of segmentation parameters, and in Fiji for verification of segmentation.","(130, 134, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11525050,Note that Fiji needs to be restarted for the changes to take effect.,"(10, 14, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11525050,Making the macros available from a Fiji menu.,"(35, 39, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11478911,"Fiji also has a sugar-sweetened beverage tax; however, previous research has shown that this tax needs to be higher to achieve health impacts [18,19,34].","(0, 4, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11478911,This cross-sectional survey was part of a broader study to strengthen food policies in Fiji [21].,"(87, 91, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11478911,"The study was conducted in accordance with the Declaration of Helsinki and approved by the Institutional Review Board of the University of New South Wales, May 2021 (HC200469) and the Fiji National University College of Human Health Research Ethical Committee May 2021 (CHHREC264.20).","(184, 188, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11370058,"While not particularly designed to call low frequency calls, we include bcftools for benchmarking here as one of the most widely used variant callers [35].","(72, 80, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11370058,Bcftools did not detect any variants at allele frequencies < ∼0.08 in any of the spiked-in datasets.,"(0, 8, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11370058, Table 1An overview of benchmarked variant callersVariant CallerUMI AwarenessType of VariantInput Files bcftools NoSNP + IndelBAM FreeBayes NoSNP + IndelBAM LoFreq NoSNP + IndelBAM Mutect2 NoSNP + IndelBAM UMIErrorCorrect YesSNPFASTQ UMI-VarCal YesSNP + indelBAM ,"(104, 112, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11431841,The genotypes of targeted regions were called by bcftools call.,"(49, 57, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11431841,The concordance of SNPs called by GATK and BCFtools on each chromosome.,"(43, 51, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11431841,The genotypes obtained by BCFtools had high concordance (>95%) with the Versa50K SNP array (Figure S2).,"(26, 34, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11034086,"We compared the processing times of QuickVariants and bcftools on the same computer offering 10 GB RAM,15 threads, and 3.00 GHz CPU speed.","(54, 62, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11034086,"The exclusion of indels by bcftools also leads to an underreporting of the major variant, which in turn elevates the frequency of minor variants, contributing to false positives in point mutation identification in 10 out of 10 cases we examined.","(27, 35, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11034086,b Distribution of run time for QuickVariants and bcftools across different SAM file sizes.,"(49, 57, 'BCFtools', 'bcftools')","Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment"
PMC11489062,"Alternatively, one could remove the “chr” prefix from BAM files prior to running ‘01-filter_bam.sh’ using the ‘samtools reheader’ command.","(111, 119, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11489062,module load samtools/1.16.1,"(12, 20, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11489062,"Troubleshooting 2....# Load sam/bedtoolsmodule load bedtools/2.29.0module load samtools/1.16.1# Convert BAM files BEDPE files using bedtoolsfor f in $(find $fbam_dir -maxdepth 1 -iname ""∗.bam"" -type f)do id=$(basename -a -s f1.bam $f | cut -d ""_"" -f 1) # Files must be sorted bam before converting to BEDPE samtools sort -n $f | \ # Convert to BEDPE file bedtools bamtobed -i - -bedpe |\ # Calculate insert size and add ‘chr’ to chromosome fields awk 'OFS = ""\t"" {print ""chr""$1, $2, $3, ""chr""$4, $5, $6, $7, $8, $9, $10, $6-$2}' - > $beddir/${id}.bedpedone3.Run ‘03-filter_frags_gc.sh’ to filter out cfDNA fragments from problematic regions of the reference genome.Note: Problematic regions of the genome consist of regions such as repetitive elements (e.g., satellite, telomeric, and centromeric repeats) that result in high rates multi-mapping reads that can produce artifacts and spurious signals in downstream sequence analysis.a.Define input and output file directories.PROJECT_DIR=/user/projectcd ""$PROJECT_DIR""# Define directories for input and output filesbed_dir=""${PROJECT_DIR}/02-bamtobed"" #BEDPE filesout_dir=""${PROJECT_DIR}/03-filter_frags_gc"" #filtered fragmentshg19=""${PROJECT_DIR}/files/hg19.fa"" #h19 reference genomefilter=""${PROJECT_DIR}/files/hg19-blacklist.v2.bed"" #blacklisted regiongap=""${PROJECT_DIR}/files/gaps.hg19.bed"" #genomic gapsmkdir -p ""$out_dir"" #Create directories if needed...b.Convert BEDPE file into BED format.Note: The ‘bedtools nuc’ does not support BEDPE file format.","(307, 315, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11489062,"Troubleshooting 2....# Load sam/bedtoolsmodule load bedtools/2.29.0module load samtools/1.16.1# Convert BAM files BEDPE files using bedtoolsfor f in $(find $fbam_dir -maxdepth 1 -iname ""∗.bam"" -type f)do id=$(basename -a -s f1.bam $f | cut -d ""_"" -f 1) # Files must be sorted bam before converting to BEDPE samtools sort -n $f | \ # Convert to BEDPE file bedtools bamtobed -i - -bedpe |\ # Calculate insert size and add ‘chr’ to chromosome fields awk 'OFS = ""\t"" {print ""chr""$1, $2, $3, ""chr""$4, $5, $6, $7, $8, $9, $10, $6-$2}' - > $beddir/${id}.bedpedone3.Run ‘03-filter_frags_gc.sh’ to filter out cfDNA fragments from problematic regions of the reference genome.Note: Problematic regions of the genome consist of regions such as repetitive elements (e.g., satellite, telomeric, and centromeric repeats) that result in high rates multi-mapping reads that can produce artifacts and spurious signals in downstream sequence analysis.a.Define input and output file directories.PROJECT_DIR=/user/projectcd ""$PROJECT_DIR""# Define directories for input and output filesbed_dir=""${PROJECT_DIR}/02-bamtobed"" #BEDPE filesout_dir=""${PROJECT_DIR}/03-filter_frags_gc"" #filtered fragmentshg19=""${PROJECT_DIR}/files/hg19.fa"" #h19 reference genomefilter=""${PROJECT_DIR}/files/hg19-blacklist.v2.bed"" #blacklisted regiongap=""${PROJECT_DIR}/files/gaps.hg19.bed"" #genomic gapsmkdir -p ""$out_dir"" #Create directories if needed...b.Convert BEDPE file into BED format.Note: The ‘bedtools nuc’ does not support BEDPE file format.","(79, 87, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11385718,The strains (PGRG2 and PGRG5) were initially mapped to the reference genomes using Burrows-Wheeler aligner “mem” algorithm (BWA-mem) v.0.7.17 (5) and converted and sorted into BAM file using SAMtools v.0.1.18 (6).,"(191, 199, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11385718,"For the variant calling, SAMtools was used to identify the SNPs and InDels from the sorted BAM file of the mapping.","(25, 33, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11385718,A gapped consensus sequence was produced using SAMtools v.0.1.18 and BEDTools (7).,"(47, 55, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC10868310,The C API of HTSlib (Bonfield et al.,"(13, 19, 'HTSlib', 'htslib')",Data management
PMC10868310,"As a C++ API of HTSlib, vcfpp inherits all functionalities from HTSlib and is implemented in a single header file that can be easily integrated and used safely.","(64, 70, 'HTSlib', 'htslib')",Data management
PMC10868310,"As a C++ API of HTSlib, vcfpp inherits all functionalities from HTSlib and is implemented in a single header file that can be easily integrated and used safely.","(16, 22, 'HTSlib', 'htslib')",Data management
PMC10868310,"Furthermore, HTSlib has demonstrated the best performance among many competitors (Bonfield et al.","(13, 19, 'HTSlib', 'htslib')",Data management
PMC10412403,"These libraries perform file access in a single-threaded manner (HTSLIB does support multi-threaded decompression, but not file reading), which is a reasonable design choice when (i) informatics analysis is compute bottlenecked, and therefore cannot benefit from faster data access; or (ii) the file storage and transport media are incapable of high performance, e.g.","(65, 71, 'HTSlib', 'htslib')",Data management
PMC10412403,HTSLIB (Bonfield et al.,"(0, 6, 'HTSlib', 'htslib')",Data management
PMC10412403,"If there is a demand from the community, we will update the quickBAM multiple pileup engine to behave exactly as HTSLIB in high coverage regions.","(113, 119, 'HTSlib', 'htslib')",Data management
PMC11512631,"This short-term exposure of PCLS slices to erlotinib did not significantly reduce the amount of collagen measured with Sirius red staining (Figures 2C, D).","(119, 125, 'Sirius', 'sirius')","Proteomics, Proteomics experiment, Metabolomics"
PMC11512631,Amount of collagen (B) measured with Sirius red staining and (C) quantified with collagen proportionate area analysis in PCLS after 5 μM erlotinib treatment for 72 hours.,"(37, 43, 'Sirius', 'sirius')","Proteomics, Proteomics experiment, Metabolomics"
PMC11512631,"The amount of collagen in Sirius red–stained sections was scored according to the modified Ishak method34 as described in Supplemental Table S1, http://links.lww.com/HC9/B65.","(26, 32, 'Sirius', 'sirius')","Proteomics, Proteomics experiment, Metabolomics"
PMC11394217,We then transduced these cells with lentiviruses with PCP-sfGFP—the original protein of the CRISPR-Sirius system [22]—and selected cells expressing PCP-sfGFP by FACS.,"(99, 105, 'Sirius', 'sirius')","Proteomics, Proteomics experiment, Metabolomics"
