name	biotoolsID	pubmedid	pubmedcid	link	EDAM_topics
ITHANET	the_ithanet_portal	36453528.0	PMC9731569	fulltexts/PMC9731569.xml	Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases
ITHANET	the_ithanet_portal	31717530.0	PMC6912721	fulltexts/PMC6912721.xml	Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases
Fiji	Fiji	31763187.0	PMC6861648	fulltexts/PMC6861648.xml	Cell biology, Imaging
BCFtools	bcftools	19505943.0	PMC2723002	fulltexts/PMC2723002.xml	Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment
BCFtools	bcftools	33590861.0	PMC7931819	fulltexts/PMC7931819.xml	Genetic variation, DNA polymorphism, GWAS study, Genotyping experiment
SAMtools	samtools	19505943.0	PMC2723002	fulltexts/PMC2723002.xml	Mapping, Sequence analysis, Sequencing, Rare diseases
SAMtools	samtools	33590861.0	PMC7931819	fulltexts/PMC7931819.xml	Mapping, Sequence analysis, Sequencing, Rare diseases
HTSlib	htslib	33594436.0	PMC7931820	fulltexts/PMC7931820.xml	Data management
Sirius	sirius		PMC2639009	fulltexts/PMC2639009.xml	Proteomics, Proteomics experiment, Metabolomics
AluMine	AluMine	31360240.0	PMC6639938	fulltexts/PMC6639938.xml	Genetic variation, Genotype and phenotype, Whole genome sequencing
cytoviewer	cytoviewer	38172724.0	PMC10765786	fulltexts/PMC10765786.xml	Cytometry, Imaging, Oncology, Genotype and phenotype, Software engineering
ARTEM	artem		PMC10484739	fulltexts/PMC10484739.xml	Nucleic acid structure analysis, RNA, Functional, regulatory and non-coding RNA, Nucleic acid sites, features and motifs, Computational biology, Nucleic acids, DNA
REPET	repet	24786468.0	PMC4008368	fulltexts/PMC4008368.xml	Sequence composition, complexity and repeats, DNA, Nucleic acid structure analysis
REPET	repet	21304975.0	PMC3031573	fulltexts/PMC3031573.xml	Sequence composition, complexity and repeats, DNA, Nucleic acid structure analysis
REPET	repet	16110336.0	PMC1185648	fulltexts/PMC1185648.xml	Sequence composition, complexity and repeats, DNA, Nucleic acid structure analysis
PASTEClassifier	PASTEClassifier	24786468.0	PMC4008368	fulltexts/PMC4008368.xml	Sequence composition, complexity and repeats
DataDiscovery	DataDiscovery		PMC5120350	fulltexts/PMC5120350.xml	Plant biology, Ecology, Biological databases, Bioinformatics, Agricultural science
DataDiscovery	DataDiscovery		PMC6097284	fulltexts/PMC6097284.xml	Plant biology, Ecology, Biological databases, Bioinformatics, Agricultural science
SyntenyViewer	urgi	37159239.0	PMC10167986	fulltexts/PMC10167986.xml	Mapping, Plant biology, Structural variation, Paleogenomics, Protein expression, Comparative genomics
Phenotator	phenotator		PMC4870745	fulltexts/PMC4870745.xml	Ontology and terminology, Data management
ADAPTIVE	ADAPTIVE	31510641.0	PMC6612897	fulltexts/PMC6612897.xml	Metabolomics, Small molecules, Machine learning
MarCat	marcat	29106641.0	PMC5753341	fulltexts/PMC5753341.xml	Marine biology, Microbiology, Metagenomics, Data mining
MarRef	marref	29106641.0	PMC5753341	fulltexts/PMC5753341.xml	Marine biology, Microbiology, Genomics, Data mining
MarDB	mardb	29106641.0	PMC5753341	fulltexts/PMC5753341.xml	Marine biology, Microbiology, Genomics, Data mining
Marine Metagenomics Portal	mmp	29106641.0	PMC5753341	fulltexts/PMC5753341.xml	Marine biology, Metagenomics, Genomics, Bioinformatics, Data integration and warehousing, Data mining, Microbial ecology, Sequence analysis, Taxonomy, Function analysis
Integrated Microbial Genomes (IMG)	img	19864254.0	PMC2808961	fulltexts/PMC2808961.xml	Virology, Microbial ecology, Genomics, Metagenomics, Comparative genomics
Integrated Microbial Genomes (IMG)	img	22194640.0	PMC3245086	fulltexts/PMC3245086.xml	Virology, Microbial ecology, Genomics, Metagenomics, Comparative genomics
iMet-Q	imet-q	26784691.0	PMC4718670	fulltexts/PMC4718670.xml	Metabolomics
RmsiGUI	rmsigui	34179452.0	PMC8205298	fulltexts/PMC8205298.xml	Proteomics experiment, Metabolomics, Imaging, Small molecules
i2i	ion-to-image	37505508.0	PMC10413325	fulltexts/PMC10413325.xml	Proteomics experiment, Imaging, Analytical chemistry
mi-CNN	mi-cnn	32657378.0	PMC7355295	fulltexts/PMC7355295.xml	Proteomics experiment, Imaging, Machine learning, Pathology
SpaceM	spacem	34226721.0	PMC7611214	fulltexts/PMC7611214.xml	Metabolomics, Small molecules, Imaging, Endocrinology and metabolism
SPUTNIK	SPUTNIK	30010780.0	PMC6298046	fulltexts/PMC6298046.xml	Proteomics experiment, Imaging
MSIWarp	msiwarp	33317272.0	PMC7745203	fulltexts/PMC7745203.xml	Proteomics experiment, Imaging, Structure analysis
massPix	masspix	28989334.0	PMC5608769	fulltexts/PMC5608769.xml	Proteomics experiment, Statistics and probability, Imaging, Metabolomics
PatchDock	patchdock	15980490.0	PMC1160241	fulltexts/PMC1160241.xml	Molecular modelling, Small molecules, Structure prediction, Protein structural motifs and surfaces, Structure analysis
WheatIS	WheatIS		PMC6097284	fulltexts/PMC6097284.xml	Plant biology, Ecology, Biological databases, Bioinformatics, Agricultural science
PSIPRED	psipred	23748958.0	PMC3692098	fulltexts/PMC3692098.xml	Structure prediction, Protein folds and structural domains, Protein secondary structure, Protein folding, stability and design, Protein structure analysis
Reactome	reactome	21067998.0	PMC3013646	fulltexts/PMC3013646.xml	Molecular interactions, pathways and networks, Endocrinology and metabolism
Reactome	reactome	37941124.0	PMC10767911	fulltexts/PMC10767911.xml	Molecular interactions, pathways and networks, Endocrinology and metabolism
MAGMA	magma-pipeline		PMC8743552	fulltexts/PMC8743552.xml	Bioinformatics
APE	ape		PMC7304703	fulltexts/PMC7304703.xml	Workflows, Ontology and terminology, Bioinformatics
APE	ape	33720735.0	PMC8041394	fulltexts/PMC8041394.xml	Workflows, Ontology and terminology, Bioinformatics
DISGENET	disgenet		PMC4397996	fulltexts/PMC4397996.xml	Molecular interactions, pathways and networks, Biomedical science, Genetic variation, Natural language processing, Ontology and terminology, Bioinformatics, Data integration and warehousing, Data identity and mapping, Translational medicine, Pathology, Genotype and phenotype, Medical informatics, Rare diseases
DISGENET	disgenet		PMC5210640	fulltexts/PMC5210640.xml	Molecular interactions, pathways and networks, Biomedical science, Genetic variation, Natural language processing, Ontology and terminology, Bioinformatics, Data integration and warehousing, Data identity and mapping, Translational medicine, Pathology, Genotype and phenotype, Medical informatics, Rare diseases
DISGENET	disgenet		PMC4937199	fulltexts/PMC4937199.xml	Molecular interactions, pathways and networks, Biomedical science, Genetic variation, Natural language processing, Ontology and terminology, Bioinformatics, Data integration and warehousing, Data identity and mapping, Translational medicine, Pathology, Genotype and phenotype, Medical informatics, Rare diseases
DISGENET	disgenet		PMC3114846	fulltexts/PMC3114846.xml	Molecular interactions, pathways and networks, Biomedical science, Genetic variation, Natural language processing, Ontology and terminology, Bioinformatics, Data integration and warehousing, Data identity and mapping, Translational medicine, Pathology, Genotype and phenotype, Medical informatics, Rare diseases
DISGENET	disgenet		PMC5210640	fulltexts/PMC5210640.xml	Molecular interactions, pathways and networks, Biomedical science, Genetic variation, Natural language processing, Ontology and terminology, Bioinformatics, Data integration and warehousing, Data identity and mapping, Translational medicine, Pathology, Genotype and phenotype, Medical informatics, Rare diseases
DISGENET	disgenet		PMC7145631	fulltexts/PMC7145631.xml	Molecular interactions, pathways and networks, Biomedical science, Genetic variation, Natural language processing, Ontology and terminology, Bioinformatics, Data integration and warehousing, Data identity and mapping, Translational medicine, Pathology, Genotype and phenotype, Medical informatics, Rare diseases
OpenChrom	openchrom	20673335.0	PMC2920884	fulltexts/PMC2920884.xml	Proteomics experiment, Proteomics, Metabolomics, Data visualisation
MetaboLights	metabolights		PMC3531110	fulltexts/PMC3531110.xml	Metabolomics
Phobius (EBI)	phobius	38597606.0	PMC11223882	fulltexts/PMC11223882.xml	Sequence sites, features and motifs, Sequence analysis, Membrane and lipoproteins, Protein folds and structural domains, Protein sites, features and motifs
Phobius (EBI)	phobius		PMC9252731	fulltexts/PMC9252731.xml	Sequence sites, features and motifs, Sequence analysis, Membrane and lipoproteins, Protein folds and structural domains, Protein sites, features and motifs
Human Splicing Finder	human_splicing_finder		PMC2685110	fulltexts/PMC2685110.xml	Gene transcripts, RNA splicing, Genetic variation, Data governance, Rare diseases, Medical informatics
GPMsDB-dbtk	gpmsdb-dbtk	38049850.0	PMC10696839	fulltexts/PMC10696839.xml	Database management, Microbiology, Proteomics
GPMsDB-tk	gpmsdb-tk	38049850.0	PMC10696839	fulltexts/PMC10696839.xml	Taxonomy, Proteomics, Microbiology
MacSyFinder	macsyfinder		PMC4201578	fulltexts/PMC4201578.xml	Functional genomics
KVFinder	kvfinder		PMC4071799	fulltexts/PMC4071799.xml	Structural biology, Computational chemistry, Structure analysis, Protein structure analysis
KVFinder-web	kvfinder-web		PMC10320092	fulltexts/PMC10320092.xml	Structural biology, Computational biology, Protein structural motifs and surfaces
pyKVFinder	pykvfinder	34930115.0	PMC8685811	fulltexts/PMC8685811.xml	Structure analysis, Workflows, Mathematics, Structural biology, Machine learning, Computational chemistry, Protein structural motifs and surfaces
PsiCLASS	psiclass		PMC6825223	fulltexts/PMC6825223.xml	Sequence assembly
PACU	pacu	38441926.0	PMC11077942	fulltexts/PMC11077942.xml	Phylogenetics, Sequence analysis
PyBDEI	pybdei	37703335.0	PMC10924745	fulltexts/PMC10924745.xml	Phylogenetics
AntiBP3	antibp3		PMC10885866	fulltexts/PMC10885866.xml	
MRSLpred	mrslpred		PMC10877048	fulltexts/PMC10877048.xml	
hmrbase	hmrbase	19589147.0	PMC2720991	fulltexts/PMC2720991.xml	Computational biology
CDpred	cdpred	36742312.0	PMC9893285	fulltexts/PMC9893285.xml	Immunogenetics, Pathology, Small molecules, Sequence sites, features and motifs, Immunoproteins and antigens
PhageTB	cellppd-mod		PMC10076811	fulltexts/PMC10076811.xml	
CancerLivER	cancerliver	32147717.0	PMC7061090	fulltexts/PMC7061090.xml	Biomarkers, Oncology, Gene expression, Literature and language, Molecular interactions, pathways and networks
PyChelator	pychelator	39014298.0	PMC11253343	fulltexts/PMC11253343.xml	Biochemistry
Stitch	stitch-snijderlab	38932690.0	PMC11301774	fulltexts/PMC11301774.xml	
RNAscape	rnascape	38630617.0	PMC11223802	fulltexts/PMC11223802.xml	RNA, Nucleic acid structure analysis, Mathematics, Imaging
StCoExpNet	stcoexpnet	38622429.0	PMC11018665	fulltexts/PMC11018665.xml	Transcriptomics, RNA-Seq, Genotype and phenotype, Gene transcripts, Mapping
shinyseg	shinyseg	38598476.0	PMC11069105	fulltexts/PMC11069105.xml	Public health and epidemiology, Genetics, Human biology
CITEViz	citeviz	38566005.0	PMC10988918	fulltexts/PMC10988918.xml	Cytometry, Transcriptomics, Workflows, RNA-Seq, Cell biology
CPPLS_MLP	cppls_mlp	38678387.0	PMC11056015	fulltexts/PMC11056015.xml	Transcriptomics, Cell biology, Gene regulation, Genotype and phenotype, Molecular interactions, pathways and networks
Cat-E	cat_e	38596315.0	PMC11001601	fulltexts/PMC11001601.xml	Oncology, Protein interactions, Small molecules, Endocrinology and metabolism, Allergy, clinical immunology and immunotherapeutics
STRIDE-DB	stride_db	38602506.0	PMC11008502	fulltexts/PMC11008502.xml	DNA polymorphism, Genotype and phenotype, GWAS study, Sequence composition, complexity and repeats, Exome sequencing
VirusPredictor	viruspredictor	38597887.0	PMC11052659	fulltexts/PMC11052659.xml	Metagenomics, Sequence assembly, Sequencing, Machine learning, Infectious disease
Plant-LncPipe	plant_lncpipe	38638682.0	PMC11024640	fulltexts/PMC11024640.xml	Functional, regulatory and non-coding RNA, Plant biology, Epigenetics, Workflows, Gene transcripts
MolProphet	molprophet	38563534.0	PMC11040716	fulltexts/PMC11040716.xml	Drug discovery, Machine learning, Small molecules, Drug development, Molecular modelling
GbyE	gbye	38641604.0	PMC11027269	fulltexts/PMC11027269.xml	GWAS study, Genotype and phenotype, Metagenomics, Genetic variation, Molecular interactions, pathways and networks
RBProkCNN	rbprokcnn	38660008.0	PMC11039349	fulltexts/PMC11039349.xml	Gene transcripts, Machine learning, Model organisms
scTE	scte	33674594.0	PMC7935913	fulltexts/PMC7935913.xml	Functional, regulatory and non-coding RNA, Mobile genetic elements, RNA-Seq
ProNet DB	pronet_db	38557634.0	PMC10984565	fulltexts/PMC10984565.xml	Protein structural motifs and surfaces, Proteomics, Protein properties, Sequence analysis, Structure prediction
Shaoxia	shaoxia	38658838.0	PMC11040744	fulltexts/PMC11040744.xml	RNA-Seq, RNA, Workflows, Computer science, Cell biology
GenoMycAnalyzer	genomycanalyzer	38643090.0	PMC11031912	fulltexts/PMC11031912.xml	Whole genome sequencing, Public health and epidemiology, Infectious disease, Genetic variation
PyPop	pypop	38629078.0	PMC11019567	fulltexts/PMC11019567.xml	Immunoproteins and antigens, Population genomics, Population genetics, Mapping, Immunogenetics
PySmooth	pysmooth	38605369.0	PMC11010338	fulltexts/PMC11010338.xml	DNA polymorphism, Functional, regulatory and non-coding RNA, Genotype and phenotype, Mapping
rnaCrosslinkOO	rnacrosslinkoo	38597883.0	PMC11060868	fulltexts/PMC11060868.xml	RNA, Structure prediction, Nucleic acid structure analysis, Probes and primers, Small molecules
scPipe	scpipe	38046273.0	PMC10689045	fulltexts/PMC10689045.xml	Gene expression, RNA-Seq, Sequencing
JCat	jcat	15980527.0	PMC1160137	fulltexts/PMC1160137.xml	Gene expression, Model organisms, Zoology
PyMOL	pymol	21857909.0	PMC3156697	fulltexts/PMC3156697.xml	Molecular modelling, Proteins, Protein structure analysis
eTBLAST	etblast	17452348.0	PMC1933238	fulltexts/PMC1933238.xml	Natural language processing, Literature and language
ChemoDOTS	chemodots	38686808.0	PMC11223810	fulltexts/PMC11223810.xml	Compound libraries and screening, Medicinal chemistry, Molecular modelling, Molecular biology, Small molecules
X-omics ACTION demonstrator multi-omics analysis workflow	x-omics_action_demonstrator_multi-omics_analysis_workflow	38217405.0	PMC10787363	fulltexts/PMC10787363.xml	Omics, Metabolomics, Epigenomics, Machine learning, Data visualisation
Expasy	expasy	22661580.0	PMC3394269	fulltexts/PMC3394269.xml	Proteomics, Phylogeny, Transcriptomics, Population genetics, Genomics, Metagenomics, Evolutionary biology, Structural biology, Drug discovery, Systems biology, Biochemistry, Metabolomics, Natural language processing, Machine learning
Expasy	expasy	33849055.0	PMC8265094	fulltexts/PMC8265094.xml	Proteomics, Phylogeny, Transcriptomics, Population genetics, Genomics, Metagenomics, Evolutionary biology, Structural biology, Drug discovery, Systems biology, Biochemistry, Metabolomics, Natural language processing, Machine learning
MSFragger	msfragger		PMC5409104	fulltexts/PMC5409104.xml	Proteomics experiment, Proteomics, Protein modifications
trimAl	trimal	19505945.0	PMC2712344	fulltexts/PMC2712344.xml	Sequence analysis, Sequencing, Sequence sites, features and motifs
WebMaBoSS	webmaboss	34888352.0	PMC8651056	fulltexts/PMC8651056.xml	Statistics and probability, Molecular interactions, pathways and networks, Genetic variation
MaBoSS	maboss	22932419.0	PMC3517402	fulltexts/PMC3517402.xml	Systems biology, Statistics and probability
ENDscript 2.0	endscript_2.0	24753421.0	PMC4086106	fulltexts/PMC4086106.xml	Protein folds and structural domains, Structure prediction, Protein secondary structure, Protein structural motifs and surfaces, Proteins
Smoother	smoother		PMC10954447	fulltexts/PMC10954447.xml	Chromosome conformation capture
iVar	andersen-lab_ivar		PMC6325816	fulltexts/PMC6325816.xml	Virology
Goslin	goslin		PMC7467413	fulltexts/PMC7467413.xml	Lipids, Computational chemistry, Metabolomics, Bioinformatics, Ontology and terminology, Cheminformatics
Domain2GO	domain2go	38757367.0	PMC11099699	fulltexts/PMC11099699.xml	Protein folds and structural domains, Ontology and terminology, Function analysis, Protein interactions
MerCat2	mercat2	38745763.0	PMC11090762	fulltexts/PMC11090762.xml	Ecology, Sequence assembly
BaRDIC	bardic	38774512.0	PMC11106031	fulltexts/PMC11106031.xml	Functional, regulatory and non-coding RNA, Sequencing, Gene transcripts, Protein interactions, Gene expression
scalepopgen	scalepopgen	38507648.0	PMC10994858	fulltexts/PMC10994858.xml	Workflows, Population genomics, Metagenomics, DNA polymorphism, Genotype and phenotype
ArCH	arch	38485690.0	PMC11014783	fulltexts/PMC11014783.xml	Genetic variation, Oncology, Workflows, Exome sequencing
MetaTron	metatron	38486137.0	PMC10941452	fulltexts/PMC10941452.xml	Natural language processing, Ontology and terminology, Imaging, Biomarkers
scNovel	scnovel	38555470.0	PMC10981759	fulltexts/PMC10981759.xml	Machine learning, Transcriptomics, Cell biology, Chromosome conformation capture
BoostDiff	boostdiff	38505804.0	PMC10948285	fulltexts/PMC10948285.xml	Molecular interactions, pathways and networks, Gene expression, Pathology, Microarray experiment, RNA-Seq
InPACT	inpact	38519498.0	PMC10960005	fulltexts/PMC10960005.xml	Gene transcripts, RNA-Seq, Gene expression, Data mining, Pathology
GEMLI	gemli	38553478.0	PMC10980719	fulltexts/PMC10980719.xml	Gene expression, Pathology, Epigenetics, Cell biology, Oncology
HIResist	hiresist	38426331.0	PMC10919947	fulltexts/PMC10919947.xml	Immunogenetics, Allergy, clinical immunology and immunotherapeutics, Public health and epidemiology, Preclinical and clinical studies, Infectious disease
FlexStat	flexstat	38681522.0	PMC11055397	fulltexts/PMC11055397.xml	Proteomics, Gene expression, Sequence analysis, Proteomics experiment
AuCoMe	aucome	37468308.0	PMC10629481	fulltexts/PMC10629481.xml	Endocrinology and metabolism, Phylogenomics, Evolutionary biology, Workflows, Model organisms
CLIPPER 2.0	clipper_2.0	38703894.0	PMC11192779	fulltexts/PMC11192779.xml	Proteomics, Proteomics experiment, Small molecules, Sequence analysis, Workflows
IBDTransDB	ibdtransdb	38564306.0	PMC10986744	fulltexts/PMC10986744.xml	Transcriptomics, Data submission, annotation and curation, Molecular interactions, pathways and networks, Pathology, RNA-Seq
OmicNavigator	omicnavigator	38658834.0	PMC11040775	fulltexts/PMC11040775.xml	Metabolomics, Proteomics, Genomics, Bioinformatics, Sequence analysis
PermuteDDS	permutedds	38622663.0	PMC11017561	fulltexts/PMC11017561.xml	Oncology, Drug metabolism, Pharmacology, Drug discovery, Preclinical and clinical studies
iVistoSeg	ivistoseg	38510173.0	PMC10951916	fulltexts/PMC10951916.xml	Imaging, Transcriptomics, RNA-Seq, Proteogenomics, Workflows
PCAO2	pcao2	38557678.0	PMC10982949	fulltexts/PMC10982949.xml	Ontology and terminology, Oncology, Public health and epidemiology, Genotype and phenotype
scAnnoX	scannox	38560451.0	PMC10981883	fulltexts/PMC10981883.xml	Genomics, Workflows, Cell biology
CovEpiAb	covepiab	38653491.0	PMC11036340	fulltexts/PMC11036340.xml	Virology, Immunoproteins and antigens, Vaccinology, Immunoinformatics, Immunogenetics
SynDesign	syndesign	38682594.0	PMC11223855	fulltexts/PMC11223855.xml	Genetic engineering, RNA, Genetic variation, Model organisms
BayesKAT	bayeskat	38653490.0	PMC11036342	fulltexts/PMC11036342.xml	GWAS study, DNA polymorphism, Genotype and phenotype, Molecular interactions, pathways and networks, Mapping
AagingBase	aagingbase	38470883.0	PMC10930205	fulltexts/PMC10930205.xml	Small molecules, Geriatric medicine, Immunogenetics, Physiology, Endocrinology and metabolism
shu	shu	38452346.0	PMC10957514	fulltexts/PMC10957514.xml	Endocrinology and metabolism, Small molecules, Molecular interactions, pathways and networks, Metabolomics, Workflows
PIFiA	pifia	38472305.0	PMC11066028	fulltexts/PMC11066028.xml	Imaging, Machine learning, Model organisms, Cell biology
Spaco	spaco	38487801.0	PMC10935509	fulltexts/PMC10935509.xml	Transcriptomics, Cell biology, Cytometry
vizAPA	vizapa	38485700.0	PMC10950478	fulltexts/PMC10950478.xml	Model organisms, Gene transcripts, RNA-Seq
CLAUDIO	claudio	38498849.0	PMC10994719	fulltexts/PMC10994719.xml	Small molecules, Proteomics experiment, Protein structure analysis, Proteomics
Mottle	mottle	38512939.0	PMC10956839	fulltexts/PMC10956839.xml	Taxonomy, Mapping, Genetic variation, Genomics, Phylogeny
LocoGSE	locogse	38550287.0	PMC10972871	fulltexts/PMC10972871.xml	Plant biology, Sequence assembly, Ecology, Model organisms, Phylogeny
DiGAlign	digalign	38508742.0	PMC10982109	fulltexts/PMC10982109.xml	Mapping, Microbial ecology, Comparative genomics, Sequencing, Structure analysis
MHCpLogics	mhcplogics	38487848.0	PMC10940831	fulltexts/PMC10940831.xml	Immunoproteins and antigens, Small molecules, Immunoinformatics, Machine learning, Sequence sites, features and motifs
shinyMBA	shinymba	38548772.0	PMC10978933	fulltexts/PMC10978933.xml	Immunoproteins and antigens, Workflows
PMAT	pmat_mit	38469379.0	PMC10925850	fulltexts/PMC10925850.xml	Plant biology, Agricultural science, Sequence assembly, Cell biology, Whole genome sequencing
RepairNatrix	repairnatrix	38496344.0	PMC10941317	fulltexts/PMC10941317.xml	DNA, Workflows, Sequence assembly
FoPGDB	fopgdb	38537199.0	PMC10972551	fulltexts/PMC10972551.xml	Model organisms, Plant biology, Biological databases, Agricultural science, Genomics
OntoloViz	ontoloviz	38496343.0	PMC10941809	fulltexts/PMC10941809.xml	Ontology and terminology, Pathology, Preclinical and clinical studies, Literature and language, Drug development
PCGIMA	pcgima	38544801.0	PMC10965558	fulltexts/PMC10965558.xml	Transcription factors and regulatory sites, Epigenomics, Gene regulation, Model organisms
ChimericFragments	chimericfragments	38633425.0	PMC11023125	fulltexts/PMC11023125.xml	RNA-Seq, Functional, regulatory and non-coding RNA, Gene transcripts, Molecular interactions, pathways and networks, Microbiology
Rummagene	rummagene	38643247.0	PMC11032387	fulltexts/PMC11032387.xml	Natural language processing, Medicine, Gene expression, Data mining, RNA-Seq
TPMA	tpma	38557416.0	PMC11008887	fulltexts/PMC11008887.xml	Cell biology, Sequence analysis, Nucleic acids
SUMA	suma	38681777.0	PMC11045205	fulltexts/PMC11045205.xml	Machine learning, Transcriptomics, Cell biology, RNA-Seq
Vector-clustering Multiple Sequence Alignment	vcmsa	37414576.0	PMC10538487	fulltexts/PMC10538487.xml	Small molecules, Sequence analysis, Proteins, Sequencing, Sequence sites, features and motifs
Zoish	zoish	38160271.0	PMC10764073	fulltexts/PMC10764073.xml	Machine learning, Statistics and probability, Oncology
SperMD	spermd	38233783.0	PMC10792849	fulltexts/PMC10792849.xml	Metabolomics, Proteomics, Transcriptomics, Biomarkers, Genotype and phenotype
FEVER	fever	38587202.0	PMC11223851	fulltexts/PMC11223851.xml	Model organisms, Transcriptomics, Evolutionary biology, Ecology, RNA-Seq
shinyExprPortal	shinyexprportal	38552327.0	PMC11021805	fulltexts/PMC11021805.xml	Proteomics, Genotype and phenotype, Transcriptomics, Molecular interactions, pathways and networks, Sequence analysis
LAP	lap	38442111.0	PMC10957075	fulltexts/PMC10957075.xml	Biotherapeutics, Immunoproteins and antigens, Sequence sites, features and motifs, Protein modifications, Sequencing
DDK-Linker	ddk_linker	38517698.0	PMC10959161	fulltexts/PMC10959161.xml	Pathology, Proteomics, Molecular interactions, pathways and networks, Mapping, Transcription factors and regulatory sites
PyCoM	pycom	38532297.0	PMC11009027	fulltexts/PMC11009027.xml	Proteins, Data submission, annotation and curation, Small molecules, Sequence analysis, Molecular evolution
RCoV19	rcov19	37898309.0	PMC10928372	fulltexts/PMC10928372.xml	Genetic variation, Evolutionary biology, Workflows
pyaging	pyaging	38603598.0	PMC11058068	fulltexts/PMC11058068.xml	Epigenetics, RNA-Seq, Biomarkers, ChIP-seq, Model organisms
Bento	bento_py	38566187.0	PMC11289963	fulltexts/PMC11289963.xml	Transcriptomics, Gene transcripts, Proteomics, Cell biology, RNA-Seq
scTensor	sctensor	37936079.0	PMC10631077	fulltexts/PMC10631077.xml	RNA-Seq, Cell biology, Epigenomics, Metabolomics
hybrid-DIA	hybrid-dia	37328457.0	PMC10276052	fulltexts/PMC10276052.xml	Proteomics experiment, Proteomics, Molecular interactions, pathways and networks, Data acquisition
MetaPathPredict	metapathpredict	38696239.0	PMC11065424	fulltexts/PMC11065424.xml	Molecular interactions, pathways and networks, Metagenomics, Machine learning, Model organisms
FoldDesign	folddesign	36656852.0	PMC9942881	fulltexts/PMC9942881.xml	Protein folds and structural domains, Protein folding, stability and design, Sequence assembly, Protein secondary structure, Molecular dynamics
GeneVector	genevector	37474509.0	PMC10359421	fulltexts/PMC10359421.xml	Gene expression, Genotype and phenotype, RNA-Seq, Molecular interactions, pathways and networks, Cell biology
DEGRONOPEDIA	degronopedia	38567734.0	PMC11223883	fulltexts/PMC11223883.xml	Protein modifications, Proteomics, Molecular interactions, pathways and networks, Protein folding, stability and design
Centrifuger	centrifuger	38664753.0	PMC11046777	fulltexts/PMC11046777.xml	Metagenomics, Whole genome sequencing, Metagenomic sequencing, Sequence analysis, Taxonomy
