name	biotoolsID	pubmedid	pubmedcid	link
iMet-Q	imet-q	26784691	PMC4718670	fulltexts/PMC4718670.xml
RmsiGUI	rmsigui	34179452	PMC8205298	fulltexts/PMC8205298.xml
i2i	ion-to-image	37505508	PMC10413325	fulltexts/PMC10413325.xml
mi-CNN	mi-cnn	32657378	PMC7355295	fulltexts/PMC7355295.xml
SpaceM	spacem	34226721	PMC7611214	fulltexts/PMC7611214.xml
SPUTNIK	SPUTNIK	30010780	PMC6298046	fulltexts/PMC6298046.xml
MSIWarp	msiwarp	33317272	PMC7745203	fulltexts/PMC7745203.xml
massPix	masspix	28989334	PMC5608769	fulltexts/PMC5608769.xml
PatchDock	patchdock	15980490	PMC1160241	fulltexts/PMC1160241.xml
WheatIS	WheatIS	NA	PMC6097284	fulltexts/PMC6097284.xml
PSIPRED	psipred	23748958	PMC3692098	fulltexts/PMC3692098.xml
Reactome	reactome	21067998	PMC3013646	fulltexts/PMC3013646.xml
Reactome	reactome	37941124	PMC10767911	fulltexts/PMC10767911.xml
MAGMA	magma-pipeline	NA	PMC8743552	fulltexts/PMC8743552.xml
APE	ape	NA	PMC7304703	fulltexts/PMC7304703.xml
APE	ape	33720735	PMC8041394	fulltexts/PMC8041394.xml
DISGENET	disgenet	NA	PMC4397996	fulltexts/PMC4397996.xml
DISGENET	disgenet	NA	PMC5210640	fulltexts/PMC5210640.xml
DISGENET	disgenet	NA	PMC4937199	fulltexts/PMC4937199.xml
DISGENET	disgenet	NA	PMC3114846	fulltexts/PMC3114846.xml
DISGENET	disgenet	NA	PMC5210640	fulltexts/PMC5210640.xml
DISGENET	disgenet	NA	PMC7145631	fulltexts/PMC7145631.xml
OpenChrom	openchrom	20673335	PMC2920884	fulltexts/PMC2920884.xml
MetaboLights	metabolights	NA	PMC3531110	fulltexts/PMC3531110.xml
Phobius (EBI)	phobius	38597606	PMC11223882	fulltexts/PMC11223882.xml
Phobius (EBI)	phobius	NA	PMC9252731	fulltexts/PMC9252731.xml
Human Splicing Finder	human_splicing_finder	NA	PMC2685110	fulltexts/PMC2685110.xml
GPMsDB-dbtk	gpmsdb-dbtk	38049850	PMC10696839	fulltexts/PMC10696839.xml
GPMsDB-tk	gpmsdb-tk	38049850	PMC10696839	fulltexts/PMC10696839.xml
MacSyFinder	macsyfinder	NA	PMC4201578	fulltexts/PMC4201578.xml
KVFinder	kvfinder	NA	PMC4071799	fulltexts/PMC4071799.xml
KVFinder-web	kvfinder-web	NA	PMC10320092	fulltexts/PMC10320092.xml
pyKVFinder	pykvfinder	34930115	PMC8685811	fulltexts/PMC8685811.xml
PsiCLASS	psiclass	NA	PMC6825223	fulltexts/PMC6825223.xml
PACU	pacu	38441926	PMC11077942	fulltexts/PMC11077942.xml
PyBDEI	pybdei	37703335	PMC10924745	fulltexts/PMC10924745.xml
AntiBP3	antibp3	NA	PMC10885866	fulltexts/PMC10885866.xml
MRSLpred	mrslpred	NA	PMC10877048	fulltexts/PMC10877048.xml
hmrbase	hmrbase	19589147	PMC2720991	fulltexts/PMC2720991.xml
CDpred	cdpred	36742312	PMC9893285	fulltexts/PMC9893285.xml
PhageTB	cellppd-mod	NA	PMC10076811	fulltexts/PMC10076811.xml
CancerLivER	cancerliver	32147717	PMC7061090	fulltexts/PMC7061090.xml
PyChelator	pychelator	39014298	PMC11253343	fulltexts/PMC11253343.xml
Stitch	stitch-snijderlab	38932690	PMC11301774	fulltexts/PMC11301774.xml
RNAscape	rnascape	38630617	PMC11223802	fulltexts/PMC11223802.xml
StCoExpNet	stcoexpnet	38622429	PMC11018665	fulltexts/PMC11018665.xml
shinyseg	shinyseg	38598476	PMC11069105	fulltexts/PMC11069105.xml
CITEViz	citeviz	38566005	PMC10988918	fulltexts/PMC10988918.xml
CPPLS_MLP	cppls_mlp	38678387	PMC11056015	fulltexts/PMC11056015.xml
Cat-E	cat_e	38596315	PMC11001601	fulltexts/PMC11001601.xml
STRIDE-DB	stride_db	38602506	PMC11008502	fulltexts/PMC11008502.xml
VirusPredictor	viruspredictor	38597887	PMC11052659	fulltexts/PMC11052659.xml
Plant-LncPipe	plant_lncpipe	38638682	PMC11024640	fulltexts/PMC11024640.xml
MolProphet	molprophet	38563534	PMC11040716	fulltexts/PMC11040716.xml
GbyE	gbye	38641604	PMC11027269	fulltexts/PMC11027269.xml
RBProkCNN	rbprokcnn	38660008	PMC11039349	fulltexts/PMC11039349.xml
scTE	scte	33674594	PMC7935913	fulltexts/PMC7935913.xml
ProNet DB	pronet_db	38557634	PMC10984565	fulltexts/PMC10984565.xml
Shaoxia	shaoxia	38658838	PMC11040744	fulltexts/PMC11040744.xml
GenoMycAnalyzer	genomycanalyzer	38643090	PMC11031912	fulltexts/PMC11031912.xml
PyPop	pypop	38629078	PMC11019567	fulltexts/PMC11019567.xml
PySmooth	pysmooth	38605369	PMC11010338	fulltexts/PMC11010338.xml
rnaCrosslinkOO	rnacrosslinkoo	38597883	PMC11060868	fulltexts/PMC11060868.xml
scPipe	scpipe	38046273	PMC10689045	fulltexts/PMC10689045.xml
JCat	jcat	15980527	PMC1160137	fulltexts/PMC1160137.xml
PyMOL	pymol	21857909	PMC3156697	fulltexts/PMC3156697.xml
eTBLAST	etblast	17452348	PMC1933238	fulltexts/PMC1933238.xml
ChemoDOTS	chemodots	38686808	PMC11223810	fulltexts/PMC11223810.xml
X-omics ACTION demonstrator multi-omics analysis workflow	x-omics_action_demonstrator_multi-omics_analysis_workflow	38217405	PMC10787363	fulltexts/PMC10787363.xml
Expasy	expasy	22661580	PMC3394269	fulltexts/PMC3394269.xml
Expasy	expasy	33849055	PMC8265094	fulltexts/PMC8265094.xml
MSFragger	msfragger	NA	PMC5409104	fulltexts/PMC5409104.xml
trimAl	trimal	19505945	PMC2712344	fulltexts/PMC2712344.xml
WebMaBoSS	webmaboss	34888352	PMC8651056	fulltexts/PMC8651056.xml
MaBoSS	maboss	22932419	PMC3517402	fulltexts/PMC3517402.xml
ENDscript 2.0	endscript_2.0	24753421	PMC4086106	fulltexts/PMC4086106.xml
Smoother	smoother	NA	PMC10954447	fulltexts/PMC10954447.xml
iVar	andersen-lab_ivar	NA	PMC6325816	fulltexts/PMC6325816.xml
Goslin	goslin	NA	PMC7467413	fulltexts/PMC7467413.xml
Domain2GO	domain2go	38757367	PMC11099699	fulltexts/PMC11099699.xml
MerCat2	mercat2	38745763	PMC11090762	fulltexts/PMC11090762.xml
BaRDIC	bardic	38774512	PMC11106031	fulltexts/PMC11106031.xml
scalepopgen	scalepopgen	38507648	PMC10994858	fulltexts/PMC10994858.xml
ArCH	arch	38485690	PMC11014783	fulltexts/PMC11014783.xml
MetaTron	metatron	38486137	PMC10941452	fulltexts/PMC10941452.xml
scNovel	scnovel	38555470	PMC10981759	fulltexts/PMC10981759.xml
BoostDiff	boostdiff	38505804	PMC10948285	fulltexts/PMC10948285.xml
InPACT	inpact	38519498	PMC10960005	fulltexts/PMC10960005.xml
GEMLI	gemli	38553478	PMC10980719	fulltexts/PMC10980719.xml
HIResist	hiresist	38426331	PMC10919947	fulltexts/PMC10919947.xml
FlexStat	flexstat	38681522	PMC11055397	fulltexts/PMC11055397.xml
AuCoMe	aucome	37468308	PMC10629481	fulltexts/PMC10629481.xml
CLIPPER 2.0	clipper_2.0	38703894	PMC11192779	fulltexts/PMC11192779.xml
IBDTransDB	ibdtransdb	38564306	PMC10986744	fulltexts/PMC10986744.xml
OmicNavigator	omicnavigator	38658834	PMC11040775	fulltexts/PMC11040775.xml
PermuteDDS	permutedds	38622663	PMC11017561	fulltexts/PMC11017561.xml
iVistoSeg	ivistoseg	38510173	PMC10951916	fulltexts/PMC10951916.xml
PCAO2	pcao2	38557678	PMC10982949	fulltexts/PMC10982949.xml
scAnnoX	scannox	38560451	PMC10981883	fulltexts/PMC10981883.xml
CovEpiAb	covepiab	38653491	PMC11036340	fulltexts/PMC11036340.xml
SynDesign	syndesign	38682594	PMC11223855	fulltexts/PMC11223855.xml
BayesKAT	bayeskat	38653490	PMC11036342	fulltexts/PMC11036342.xml
AagingBase	aagingbase	38470883	PMC10930205	fulltexts/PMC10930205.xml
shu	shu	38452346	PMC10957514	fulltexts/PMC10957514.xml
PIFiA	pifia	38472305	PMC11066028	fulltexts/PMC11066028.xml
Spaco	spaco	38487801	PMC10935509	fulltexts/PMC10935509.xml
vizAPA	vizapa	38485700	PMC10950478	fulltexts/PMC10950478.xml
CLAUDIO	claudio	38498849	PMC10994719	fulltexts/PMC10994719.xml
Mottle	mottle	38512939	PMC10956839	fulltexts/PMC10956839.xml
LocoGSE	locogse	38550287	PMC10972871	fulltexts/PMC10972871.xml
DiGAlign	digalign	38508742	PMC10982109	fulltexts/PMC10982109.xml
MHCpLogics	mhcplogics	38487848	PMC10940831	fulltexts/PMC10940831.xml
shinyMBA	shinymba	38548772	PMC10978933	fulltexts/PMC10978933.xml
PMAT	pmat_mit	38469379	PMC10925850	fulltexts/PMC10925850.xml
RepairNatrix	repairnatrix	38496344	PMC10941317	fulltexts/PMC10941317.xml
FoPGDB	fopgdb	38537199	PMC10972551	fulltexts/PMC10972551.xml
OntoloViz	ontoloviz	38496343	PMC10941809	fulltexts/PMC10941809.xml
PCGIMA	pcgima	38544801	PMC10965558	fulltexts/PMC10965558.xml
ChimericFragments	chimericfragments	38633425	PMC11023125	fulltexts/PMC11023125.xml
Rummagene	rummagene	38643247	PMC11032387	fulltexts/PMC11032387.xml
TPMA	tpma	38557416	PMC11008887	fulltexts/PMC11008887.xml
SUMA	suma	38681777	PMC11045205	fulltexts/PMC11045205.xml
Vector-clustering Multiple Sequence Alignment	vcmsa	37414576	PMC10538487	fulltexts/PMC10538487.xml
Zoish	zoish	38160271	PMC10764073	fulltexts/PMC10764073.xml
SperMD	spermd	38233783	PMC10792849	fulltexts/PMC10792849.xml
FEVER	fever	38587202	PMC11223851	fulltexts/PMC11223851.xml
shinyExprPortal	shinyexprportal	38552327	PMC11021805	fulltexts/PMC11021805.xml
LAP	lap	38442111	PMC10957075	fulltexts/PMC10957075.xml
DDK-Linker	ddk_linker	38517698	PMC10959161	fulltexts/PMC10959161.xml
PyCoM	pycom	38532297	PMC11009027	fulltexts/PMC11009027.xml
RCoV19	rcov19	37898309	PMC10928372	fulltexts/PMC10928372.xml
pyaging	pyaging	38603598	PMC11058068	fulltexts/PMC11058068.xml
Bento	bento_py	38566187	PMC11289963	fulltexts/PMC11289963.xml
scTensor	sctensor	37936079	PMC10631077	fulltexts/PMC10631077.xml
hybrid-DIA	hybrid-dia	37328457	PMC10276052	fulltexts/PMC10276052.xml
MetaPathPredict	metapathpredict	38696239	PMC11065424	fulltexts/PMC11065424.xml
FoldDesign	folddesign	36656852	PMC9942881	fulltexts/PMC9942881.xml
GeneVector	genevector	37474509	PMC10359421	fulltexts/PMC10359421.xml
DEGRONOPEDIA	degronopedia	38567734	PMC11223883	fulltexts/PMC11223883.xml
Centrifuger	centrifuger	38664753	PMC11046777	fulltexts/PMC11046777.xml
EmbedPVP	embedpvp	38696757	PMC11132820	fulltexts/PMC11132820.xml
SpatialCells	spatialcells	38701421	PMC11066940	fulltexts/PMC11066940.xml
Snapper	snapper	37982752	PMC10689673	fulltexts/PMC10689673.xml
PAST	bio-past	37903634	PMC10691543	fulltexts/PMC10691543.xml
INSIDER	insider	38484017	PMC10965063	fulltexts/PMC10965063.xml
PyCoMo	pycomo	38532295	PMC10990682	fulltexts/PMC10990682.xml
Enhancer-MDLF	enhancer_mdlf	38485768	PMC10938904	fulltexts/PMC10938904.xml
trans-PCO	trans-pco	38565144	PMC11019359	fulltexts/PMC11019359.xml
m6A-TCPred	m6a_tcpred	38528499	PMC10962094	fulltexts/PMC10962094.xml
shaPRS	shaprs	38703768	PMC11179256	fulltexts/PMC11179256.xml
DELVE	delve	38553455	PMC10980758	fulltexts/PMC10980758.xml
PHARE	phare	38502783	PMC11062946	fulltexts/PMC11062946.xml
admix-kit	admix_kit	38490256	PMC10980565	fulltexts/PMC10980565.xml
AStruct	astruct	38429654	PMC11264973	fulltexts/PMC11264973.xml
voyAGEr	voyager	38546191	PMC10977969	fulltexts/PMC10977969.xml
gbdmr	gbdmr	38443825	PMC10916021	fulltexts/PMC10916021.xml
PAPipe	papipe	38427787	PMC10919927	fulltexts/PMC10919927.xml
sashimi.py	sashimi.py	37669275	PMC10503704	fulltexts/PMC10503704.xml
Skipper	skipper	37388912	PMC10300551	fulltexts/PMC10300551.xml
scifAI	scifai	38036503	PMC10689847	fulltexts/PMC10689847.xml
TACCO	tacco	36797494	PMC10513360	fulltexts/PMC10513360.xml
OralExplorer	oralexplorer	38491529	PMC10943789	fulltexts/PMC10943789.xml
MdrDB	mdrdb	37316673	PMC10267113	fulltexts/PMC10267113.xml
TCMNPAS	tcmnpas	38519956	PMC10958928	fulltexts/PMC10958928.xml
GRETA	greta	37326978	PMC10284671	fulltexts/PMC10284671.xml
FRETpredict	fretpredict	38461354	PMC10925062	fulltexts/PMC10925062.xml
MetaTiME	metatime	37149682	PMC10164163	fulltexts/PMC10164163.xml
MetaCerberus	metacerberus	38426351	PMC10955254	fulltexts/PMC10955254.xml
SUPREME	supreme	37680392	PMC10481254	fulltexts/PMC10481254.xml
tRigon	trigon	38443821	PMC10916305	fulltexts/PMC10916305.xml
MASSef	massef	38711578	PMC11070925	fulltexts/PMC11070925.xml
TREE-QMC	tree-qmc	37197990	PMC10538498	fulltexts/PMC10538498.xml
SAN	san	38712767	PMC11075170	fulltexts/PMC11075170.xml
scPrisma	scprisma	36849830	PMC10635821	fulltexts/PMC10635821.xml
tinyRNA	tinyrna	37288323	PMC10243934	fulltexts/PMC10243934.xml
rNMPID	rnmpid	38736683	PMC11088741	fulltexts/PMC11088741.xml
scDREAMER	scdreamer	38012145	PMC10682386	fulltexts/PMC10682386.xml
kmerDB	kmerdb	38711760	PMC11070822	fulltexts/PMC11070822.xml
cooltools	cooltools	38709825	PMC11098495	fulltexts/PMC11098495.xml
MatchMiner	matchminer_c	36202909	PMC9537311	fulltexts/PMC9537311.xml
prolfqua	prolfqua	36939687	PMC10088014	fulltexts/PMC10088014.xml
MoTrPAC	motrpac	38693125	PMC11063075	fulltexts/PMC11063075.xml
BiWFA	biwfa	36749013	PMC9940620	fulltexts/PMC9940620.xml
NEUROeSTIMator	neuroestimator	38278804	PMC10817898	fulltexts/PMC10817898.xml
RiceProteomeDB RPDB	riceproteomedb_rpdb	38351208	PMC10864295	fulltexts/PMC10864295.xml
GBScleanR	gbscleanr	36988327	PMC10213493	fulltexts/PMC10213493.xml
HAIviz	haiviz	38358326	PMC10926687	fulltexts/PMC10926687.xml
ProKinO	prokino	38077442	PMC10704995	fulltexts/PMC10704995.xml
Rascore	rascore2	35536216	PMC9256797	fulltexts/PMC9256797.xml
MTPpilot	mtppilot	36007219	PMC9470140	fulltexts/PMC9470140.xml
TrieDedup	triededup	38637756	PMC11025179	fulltexts/PMC11025179.xml
CytoPipeline	cytopipeline	38378440	PMC10877884	fulltexts/PMC10877884.xml
PhyloAcc-C	phyloacc-c	38656999	PMC11078400	fulltexts/PMC11078400.xml
MIC-SQTL	mic-sqtl	38658803	PMC11043077	fulltexts/PMC11043077.xml
cubeVB	cubevb	38699195	PMC11064865	fulltexts/PMC11064865.xml
virsorter	virsorter	NA	PMC7852108	fulltexts/PMC7852108.xml
CLAW	claw	38335225	PMC10883564	fulltexts/PMC10883564.xml
PGD	pgd_fr	38331722	PMC10851451	fulltexts/PMC10851451.xml
MarkerScan	markerscan	38617467	PMC11016177	fulltexts/PMC11016177.xml
scRANK	scrank	NA	PMC11060557	fulltexts/PMC11060557.xml
NanoLAS	nanolas	38300518	PMC10833066	fulltexts/PMC10833066.xml
EvoAug-TF	evoaug_tf	38366935	PMC10918628	fulltexts/PMC10918628.xml
PlantFUNCO	plantfunco	38411627	PMC10917205	fulltexts/PMC10917205.xml
DataColor	datacolor	38333729	PMC10852383	fulltexts/PMC10852383.xml
RAMZIS	ramzis	38384861	PMC10879752	fulltexts/PMC10879752.xml
MolStar	molstar	NA	PMC8262734	fulltexts/PMC8262734.xml
plantRNA	plantrna	NA	PMC3531208	fulltexts/PMC3531208.xml
BUSCO	busco	29220515	PMC5850278	fulltexts/PMC5850278.xml
BUSCO	busco	34320186	PMC8476166	fulltexts/PMC8476166.xml
AlphaFind	alphafind	NA	PMC11223785	fulltexts/PMC11223785.xml
PMechDB	pmechdb	38483315	PMC10966657	fulltexts/PMC10966657.xml
COSAP	cosap	38532317	PMC10967217	fulltexts/PMC10967217.xml
mzion	mzion	37120666	PMC10148867	fulltexts/PMC10148867.xml
PyMut	pymut	28453649	PMC5793831	fulltexts/PMC5793831.xml
Integron Finder	integron_finder	NA	PMC4889954	fulltexts/PMC4889954.xml
Integron Finder	integron_finder	NA	PMC8876359	fulltexts/PMC8876359.xml
Snowflake	snowflake	38375239	PMC10875061	fulltexts/PMC10875061.xml
AGImpute	agimpute	38317025	PMC10877090	fulltexts/PMC10877090.xml
ARGprofiler	argprofiler	38377397	PMC10918635	fulltexts/PMC10918635.xml
MAGPIE	magpie_met	38346081	PMC10890765	fulltexts/PMC10890765.xml
BISCUIT	biscuit	38412294	PMC11014253	fulltexts/PMC11014253.xml
ACE	ace_elispot	38180831	PMC10768796	fulltexts/PMC10768796.xml
MINNO	minno	38359900	PMC10902815	fulltexts/PMC10902815.xml
NanoDeep	nanodeep	38189540	PMC10772945	fulltexts/PMC10772945.xml
KinCytE	kincyte	38305363	PMC10945549	fulltexts/PMC10945549.xml
DandD	dandd	38361606	PMC10867639	fulltexts/PMC10867639.xml
ABDpred	abdpred	38345040	PMC10954100	fulltexts/PMC10954100.xml
sRNAfrag	srnafrag	38243693	PMC10796253	fulltexts/PMC10796253.xml
IDSL_MINT	idsl_mint	38238779	PMC10797927	fulltexts/PMC10797927.xml
MAGPIE	magpie_gen	38185709	PMC10773112	fulltexts/PMC10773112.xml
DeePhys	deephys	38278155	PMC10874850	fulltexts/PMC10874850.xml
BIDCell	bidcell	38218939	PMC10787788	fulltexts/PMC10787788.xml
GeNLP	genlp	38291951	PMC10868303	fulltexts/PMC10868303.xml
pyHiM	pyhim	38351149	PMC10863255	fulltexts/PMC10863255.xml
rworkflows	rworkflows	38167858	PMC10761765	fulltexts/PMC10761765.xml
PERSEUS	perseus_spec	38310342	PMC10898331	fulltexts/PMC10898331.xml
shinyDeepDR	shinydeepdr	38370127	PMC10873157	fulltexts/PMC10873157.xml
Privateer	privateer	38265073	PMC10836424	fulltexts/PMC10836424.xml
eccDNA-pipe	eccdna_pipe	38349061	PMC10862650	fulltexts/PMC10862650.xml
Bd-RPC	bd_rpc	38361823	PMC10868571	fulltexts/PMC10868571.xml
RNAthreader	rnathreader	38341662	PMC10893584	fulltexts/PMC10893584.xml
PM-CNN	pm_cnn	38371919	PMC10873578	fulltexts/PMC10873578.xml
cloudrnaSPAdes	cloudrnaspades	38262343	PMC10868327	fulltexts/PMC10868327.xml
LAVASET	lavaset	38383048	PMC11212485	fulltexts/PMC11212485.xml
MSCAN	mscan	38233745	PMC10795237	fulltexts/PMC10795237.xml
SAND	sand	38273718	PMC10896553	fulltexts/PMC10896553.xml
KNeXT	knext	38415058	PMC10896898	fulltexts/PMC10896898.xml
RT-Transformer	rt_transformer	38402516	PMC10914443	fulltexts/PMC10914443.xml
CEMIG	cemig	38189539	PMC10772951	fulltexts/PMC10772951.xml
PREDAC-CNN	predac_cnn	38343322	PMC10859661	fulltexts/PMC10859661.xml
SEPDB	sepdb	38531600	PMC11184446	fulltexts/PMC11184446.xml
ElemeNT 2023	element_2023	38407414	PMC10950481	fulltexts/PMC10950481.xml
CDBProm	cdbprom	38385146	PMC10880602	fulltexts/PMC10880602.xml
Torch-eCpG	torch_ecpg	38355413	PMC10867984	fulltexts/PMC10867984.xml
123VCF	123vcf	38350858	PMC10865685	fulltexts/PMC10865685.xml
kled	kled	38385878	PMC10883419	fulltexts/PMC10883419.xml
SNVstory	snvstory	38378494	PMC10877842	fulltexts/PMC10877842.xml
HIVseqDB	hivseqdb	38312948	PMC10834361	fulltexts/PMC10834361.xml
dbCRAF	dbcraf	38406264	PMC10894039	fulltexts/PMC10894039.xml
ChemMORT	chemmort	38385872	PMC10883642	fulltexts/PMC10883642.xml
CTISL	ctisl	38317054	PMC10873586	fulltexts/PMC10873586.xml
MRMPro	mrmpro	38321388	PMC10848457	fulltexts/PMC10848457.xml
Crop-GPA	crop_gpa	38346982	PMC10861494	fulltexts/PMC10861494.xml
TreeViewer	treeviewer	38314311	PMC10834882	fulltexts/PMC10834882.xml
T4SEpp	t4sepp	38328004	PMC10847861	fulltexts/PMC10847861.xml
Pycallingcards	pycallingcards	38323623	PMC10881108	fulltexts/PMC10881108.xml
POSEIDON	poseidon_pep	38365724	PMC10874016	fulltexts/PMC10874016.xml
MetaLo	metalo	38314776	PMC11293895	fulltexts/PMC11293895.xml
PipeVal	pipeval	38341658	PMC10893582	fulltexts/PMC10893582.xml
imputomics	imputomics	38377398	PMC10918629	fulltexts/PMC10918629.xml
Augusta	augusta	38312198	PMC10837063	fulltexts/PMC10837063.xml
Deep-WET	deep_wet	38316843	PMC10844231	fulltexts/PMC10844231.xml
CRISPR-TE	crispr_te	38303094	PMC10832116	fulltexts/PMC10832116.xml
TPE-OLD	tpe-old	38666215	PMC11044432	fulltexts/PMC11044432.xml
IBDIRP	ibdirp	38227799	PMC10791110	fulltexts/PMC10791110.xml
LUSTR	lustr	38279154	PMC10811831	fulltexts/PMC10811831.xml
scQA	scqa	38235363	PMC10791572	fulltexts/PMC10791572.xml
CircSI-SSL	circsi-ssl	38180876	PMC10789309	fulltexts/PMC10789309.xml
SeedMatchR	seedmatchr	38192001	PMC10799297	fulltexts/PMC10799297.xml
DisoFLAG	disoflag	38166858	PMC10762911	fulltexts/PMC10762911.xml
CLOUDe	cloude	38282974	PMC10812876	fulltexts/PMC10812876.xml
EvORanker	evoranker	38178268	PMC10765705	fulltexts/PMC10765705.xml
DIAgui	diagui	38249340	PMC10799745	fulltexts/PMC10799745.xml
CircNetVis	circnetvis	38233808	PMC10795305	fulltexts/PMC10795305.xml
SerotoninAI	serotoninai	38289046	PMC11005036	fulltexts/PMC11005036.xml
HiPhase	hiphase	38269623	PMC10868326	fulltexts/PMC10868326.xml
GlyComb	glycomb	38176651	PMC10850976	fulltexts/PMC10850976.xml
nanostring	nanostring	38212989	PMC10805338	fulltexts/PMC10805338.xml
BiG-SCAPE	BiG-SCAPE	31768033	PMC6917865	fulltexts/PMC6917865.xml
MView (EBI)	mview_ebi	38597606	PMC11223882	fulltexts/PMC11223882.xml
MView (EBI)	mview_ebi	NA	PMC9252731	fulltexts/PMC9252731.xml
seqret (EBI)	seqret-ebi	38597606	PMC11223882	fulltexts/PMC11223882.xml
seqret (EBI)	seqret-ebi	NA	PMC9252731	fulltexts/PMC9252731.xml
Infernal cmscan (EBI)	infernal_cmscan	NA	PMC3810854	fulltexts/PMC3810854.xml
Infernal cmscan (EBI)	infernal_cmscan	38597606	PMC11223882	fulltexts/PMC11223882.xml
Infernal cmscan (EBI)	infernal_cmscan	NA	PMC9252731	fulltexts/PMC9252731.xml
SeqCksum (EBI)	seqcksum	38597606	PMC11223882	fulltexts/PMC11223882.xml
SeqCksum (EBI)	seqcksum	NA	PMC9252731	fulltexts/PMC9252731.xml
RADAR (EBI)	radar	38597606	PMC11223882	fulltexts/PMC11223882.xml
RADAR (EBI)	radar	NA	PMC9252731	fulltexts/PMC9252731.xml
Pratt (EBI)	pratt	38597606	PMC11223882	fulltexts/PMC11223882.xml
Pratt (EBI)	pratt	NA	PMC9252731	fulltexts/PMC9252731.xml
HMMER hmmscan (EBI)	hmmer_hmmscan_ebi	NA	PMC3125773	fulltexts/PMC3125773.xml
HMMER hmmscan (EBI)	hmmer_hmmscan_ebi	38597606	PMC11223882	fulltexts/PMC11223882.xml
HMMER hmmscan (EBI)	hmmer_hmmscan_ebi	NA	PMC9252731	fulltexts/PMC9252731.xml
HMMER phmmer (EBI)	hmmer_phmmer_ebi	NA	PMC3125773	fulltexts/PMC3125773.xml
