PMCID,Sentence,True?,False?,NER_Tags,Topics
PMC11045623,"In this case, MZmine lists and assigns both peaks to both compounds in the final feature list, while ATS was able to split the peaks and assign the chemicals correctly (see Supporting Information S1, Figure S1-3A).",FALSE,FALSE,"(14, 20, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,One strategy would be to assign three different features (peaks 1–3) and evaluate them independently in MZmine or manually integrate the three peaks together in TF.,FALSE,FALSE,"(104, 110, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"ATS correctly identified and assigned the respective peak of the EIC, whereas MZmine was only able to do so if the retention times had been accurately shift-corrected and small RT windows in advance.",FALSE,FALSE,"(78, 84, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"Otherwise, the peak finder of MZmine detects two peaks which have a similar peak pattern but the wrong retention time.",FALSE,FALSE,"(30, 36, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,ATS is able to increase the overall peak annotation accuracy and outperforms sophisticated workflows like MZmine for challenging scenarios like shifted retention times or co-eluting analytes.,FALSE,FALSE,"(106, 112, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11449484,"coli (strain s_6558), Klebsiella pneumoniae (strain 4300STDY7045912), and Salmonella enterica (strain 350627) were compared with Jalview.",FALSE,FALSE,"(129, 136, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC11449484,coli were compared using Jalview.,FALSE,FALSE,"(25, 32, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC11449484,"Jalview was used for editing and viewing sequence alignments (Waterhouse et al., 2009).",FALSE,FALSE,"(0, 7, 'Jalview', 'Jalview')","Sequence analysis, Data visualisation"
PMC11373567,"To address the current digital divide amongst LMICs, and between LMICs and HICs, GGN recommended the Leiden Open Variation Database (LOVD) and the ITHANET Portal as platforms for data collection and data sharing.",FALSE,FALSE,"(147, 154, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,"By contrast, ITHANET (https://www.ithanet.eu/; accessed on 17 April 2024) is a web portal initially conceived specifically for hemoglobinopathies, which, as of this writing, holds in its databases sequence and functional annotation for 3462 variants in 538 genes.",FALSE,FALSE,"(13, 20, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,"More recently, ITHANET launched new databases, namely IthaPhen [71] for genotype-phenotype correlation and IthaCNVs [72] for improved diagnosis of copy number variants in hemoglobinopathies.",FALSE,FALSE,"(15, 22, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,"The enormous diversity of causative β-globin mutations and modifier polymorphisms may be illustrated by using quick filters on ITHANET (www.ithanet.eu, accessed 17 April 2024).",FALSE,FALSE,"(127, 134, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,"Accordingly, for the quick filter “Haemoglobinopathy/β-thalassaemia” on ITHANET, 491 variants were found that affect the HBB gene and cause β-thalassemia (https://www.ithanet.eu/db/ithagenes?action=list&hem=2), whereas a quick filter for “Functionality/Disease modifying mutations” revealed 886 entries, many of which are associated with changes in β-thalassemia disease severity (https://www.ithanet.eu/db/ithagenes?action=list&func=2).",FALSE,FALSE,"(72, 79, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,"These databases are ClinVar, Global Variome shared LOVD, the Globin Gene Server/HbVar, the Malaysian Node of the Human Variome Project Database (MyHVPDb), and ITHANET.",FALSE,FALSE,"(159, 166, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,The IthaGenes database (https://www.ithanet.eu/db/ithagenes) [78] provides a graphical user interface with live and advanced search functionality and integrates and links gene and variant entries with other data on the ITHANET Portal and elsewhere.,FALSE,FALSE,"(219, 226, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,"ITHANET with IthaGenes is the presently most comprehensive resource for hemoglobinopathies, which, beyond variant information for causative genes, also includes modifiers, detailed information on phenotypic features, detailed epidemiological information, national health policy and management information, and advanced tools for genotype-phenotype prediction for genetic counseling.",FALSE,FALSE,"(0, 7, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11373567,The establishment of individual LOVD-based variant databases in GGN member countries and their integration with the ITHANET Portal as a central resource for hemoglobinopathies as part of this effort may be instrumental in initiating essential data-guided disease management in LMICs and in capturing the diversity of hemoglobinopathies as an international resource.,FALSE,FALSE,"(116, 123, 'ITHANET', 'the_ithanet_portal')","Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases"
PMC11466383,"The Big Skin Health Intervention Fiji Trial (“Big SHIFT”) carried out surveillance for scabies and SSTIs from July 2018 to June 2019 in the Northern Division of Fiji, an area with high prevalence of scabies, prior to a division-wide ivermectin-based mass drug administration (MDA) campaign.",FALSE,TRUE,"(33, 37, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,We extrapolated the total annual number of cases and direct healthcare costs for all divisions in Fiji based upon previous scabies and impetigo prevalence data across all divisions.,FALSE,TRUE,"(98, 102, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"The estimated annual healthcare costs of scabies and related SSTIs in Fiji was US$3.0 million, with cost per capita of $3.3.",FALSE,TRUE,"(70, 74, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,Scabies and related SSTIs lead to a heavy economic burden in Fiji and prevention would reduce these healthcare costs.,FALSE,TRUE,"(61, 65, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"This data is the same as supplement to Hospital admissions for skin and soft tissue infections in a population with endemic scabies: A prospective study in Fiji, 2018–2019 - available at https://figshare.com/articles/dataset/Full_data_set_/13355845 The analysis code for replicating the results is available at https://github.com/EdifofonA/ScabiesSSTI-Costs-Fiji.",FALSE,TRUE,"(156, 160, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"There is a high burden of scabies and related SSTIs at the population level in Fiji, an island country located in the South Pacific Ocean with a census population of 884,887 people in 2017 [6].",FALSE,TRUE,"(79, 83, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"In the Skin Health Intervention Fiji Trial (SHIFT) conducted between 2012–2013, scabies prevalence was measured at 36.4% and impetigo prevalence at 23.4% among residents of three islands of Fiji [7].",FALSE,TRUE,"(32, 36, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"In Fiji, scabies is often initially treated with traditional medicines, and many individuals only seek medical care for prolonged illness or when a secondary skin infection develops [9].",FALSE,TRUE,"(3, 7, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"In 2016, the Fiji Government annual Health Status Report reported that SSTIs caused 4.3% of mortality within the country [10].",FALSE,TRUE,"(13, 17, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"In Fiji, two pilot studies were conducted to provide evidence on MDA [7,11].",FALSE,TRUE,"(3, 7, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,The Skin Health Intervention Fiji Trial (SHIFT) study demonstrated that ivermectin-based MDA was safe and effective in controlling scabies and impetigo in a study population of approximately 2000 people in Fiji [7].,FALSE,TRUE,"(29, 33, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Big SHIFT was delivered to the whole population of the Northern Division of Fiji, one of four primary administrative units of Fiji (2017 census population, 131,914) [6].",FALSE,TRUE,"(76, 80, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,The Northern division has the highest prevalence of scabies and impetigo among all Fiji divisions–with 1.3 higher odds of scabies and impetigo compared with those in other divisions [8].,FALSE,TRUE,"(83, 87, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,Healthcare in Fiji comprises a government public healthcare system and a smaller private healthcare sector [12].,FALSE,TRUE,"(14, 18, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"In 2019, about US$144 million from the Fiji government’s revenue was allocated to health [13].",FALSE,TRUE,"(39, 43, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Therefore, we sought to estimate the annual direct healthcare costs of scabies and related SSTIs in Fiji, a middle-income Pacific country with high burden of scabies.",FALSE,TRUE,"(100, 104, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,This study uses prospectively collected data from the Northern Division of Fiji to estimate the costs of healthcare presentations and hospital admissions among patients with scabies and scabies-related SSTIs prior to the delivery of MDA through Big SHIFT.,FALSE,TRUE,"(75, 79, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,Costs are calculated using an ingredients-based approach and then extrapolated to the national level using epidemiological data from Fiji.,FALSE,TRUE,"(133, 137, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"We estimated the mean costs as well as the total annual costs, using extrapolated number of cases in Fiji, to estimate the economic burden at a national level.",FALSE,TRUE,"(101, 105, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,We used this perspective because public provision of most outpatient and inpatient care is free in Fiji and user fees are very low compared with the overall health expenditure in government facilities [12].,FALSE,TRUE,"(99, 103, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"To estimate the quantities of medicines, we supplemented the utilization data collected in the trial with relevant antibiotics and treatment guidelines for scabies and SSTIs in Fiji [16,17].",FALSE,TRUE,"(177, 181, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"We used the average household size in Fiji, 4.2 in 2021 [18], to quantify the number of tubes that would be sufficient to treat the whole family as recommended in the guidelines.",FALSE,TRUE,"(38, 42, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"For those prescribed an injection, we used benzathine penicillin (for impetigo) or cloxacillin (for cellulitis, abscess, or severe SSTI) as recommended by Fiji antibiotics guidelines [16].",FALSE,TRUE,"(155, 159, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"The unit costs per diagnostic test, outpatient visit, admission to PHC facilities, and hospital admission were obtained from a Fiji costing study [20].",FALSE,TRUE,"(127, 131, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"The outpatient visits and admission unit cost estimates from the Fiji costing study includes both recurrent costs (staff time and overheads) and capital costs (building, equipment, beds, furniture, and vehicles).",FALSE,TRUE,"(65, 69, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"The Fiji costing study estimated the costs per bed day for the two hospitals (LTK and CWM), so we used the lower of the values to obtain conservative estimates.",FALSE,TRUE,"(4, 8, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,The cost of surgical procedures was not estimated separately because it was captured in the unit cost of admissions in the Fiji costing study [20].,FALSE,TRUE,"(123, 127, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Costs obtained in other years and/or different currencies converted to Fijian dollar using the average exchange rate in that year [21], adjusted to 2020 prices using GDP deflator [22], and converted back to US$ using 2020 exchange rates.",FALSE,TRUE,"(71, 75, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"We extrapolated case numbers to all Fiji divisions using the expected annual number of cases in the Northern Division, and the risk ratio (RR) of scabies infestation between the Northern Division and other divisions.",FALSE,TRUE,"(36, 40, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"A study by Romani [8] indicated that scabies and impetigo cases were prevalent in the Northern division compared with other Fiji divisions, with an adjusted odds ratio (OR) of 1.3 for each disease.",FALSE,TRUE,"(124, 128, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"We converted the OR to risk ratio (RR) using the formula in Zhang and Yu [24], and multiplied this RR WITH the risk in the Northern Division to derive the risk for other Fiji divisions.",FALSE,TRUE,"(170, 174, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"To obtain the expected annual cases in other Fiji divisions, we multiplied the annual risk of cases above with the population size for all other Fiji divisions (752,973 based on 2017 census) [6].",FALSE,TRUE,"(45, 49, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Lastly, we summed up the number of cases for the Northern and the number for other divisions to get the total annual number of cases in all Fiji divisions.",FALSE,TRUE,"(140, 144, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,These extrapolated number of cases in Fiji were multiplied by the mean costs per case to yield the annual costs.,FALSE,TRUE,"(38, 42, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"For ICU, used an average of ICU bed day estimates from two hospitals in the Fiji costing study [20] in the base case, so these two estimates served as our low/high value for sensitivity analysis.",FALSE,TRUE,"(76, 80, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Ethical approval for Big SHIFT was granted by the Fiji National Health Research Ethics Review Committee (reference: 2018.38.NOR) and the Royal Children’s Hospital Human Research Ethics Committee in Melbourne, Australia (reference: 38020).",FALSE,TRUE,"(50, 54, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Extrapolating the data from the Northern Division to the rest of Fiji, the estimated annual number of PHC presentations for scabies and related SSTIs was 82,183 (Table 4).",FALSE,TRUE,"(65, 69, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"From a health system perspective, the estimated annual healthcare costs of scabies and related SSTIs in Fiji was US$3.0 million.",FALSE,TRUE,"(104, 108, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,One-way sensitivity analysis indicated that variations in the cost per outpatient visit had the biggest influence on the total cost of scabies and SSTIs in Fiji (Fig 2).,FALSE,TRUE,"(156, 160, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,We used before-intervention data from the Big SHIFT trial in Fiji and extrapolated these costs to the entire country.,FALSE,TRUE,"(61, 65, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,The trial provided rich information on PHC presentations (including visits and admissions) and hospital admissions for scabies and related SSTIs in the Northern Division of Fiji.,FALSE,TRUE,"(173, 177, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"The estimated annual direct healthcare costs of scabies and related SSTIs in Fiji was estimated to be $3.0 million, equivalent to 2.4% of government revenues allocated to health in 2019.",FALSE,TRUE,"(77, 81, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Scabies and related SSTIs therefore lead to a heavy economic burden in Fiji, raising the potential benefit of prevention programs such as MDA.",FALSE,TRUE,"(71, 75, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"The estimated 23,000 bed days in our study represents 7.1% of admissions for all divisional hospitals in Fiji in 2017 (3.6% of divisional and specialist hospital admissions).",FALSE,TRUE,"(105, 109, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"In countries endemic for scabies like Fiji, patients may not seek treatment of scabies unless it creates a significant disturbance to their quality of life [27].",FALSE,TRUE,"(38, 42, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"This amount is more than double the estimated cost of medicines for treatment of outpatient pneumonia in Fiji [29]; in that study, the average cost of medicines ranged from $1.3 for Nausori PHC to $2.6 for CWMH (in 2020 values).",FALSE,TRUE,"(105, 109, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"While there are few data to guide the attribution of bacterial SSTIs to scabies in highly endemic settings, two lines of evidence suggest that impetigo is highly associated with scabies in Fiji and other Pacific Island countries.",FALSE,TRUE,"(189, 193, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"First, the population attributable risk of impetigo to scabies has ranged from 41 to 93% in studies in Fiji and the Solomon Islands [8,30].",FALSE,TRUE,"(103, 107, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"A strength of our study is that we analyzed PHC data obtained from a trial that was conducted among the entire population of the Northern Division of Fiji, including children and the elderly.",FALSE,TRUE,"(150, 154, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"We only had data to calculate the odds ratio of impetigo in other divisions of Fiji compared to the Northern Division, so we used impetigo as a proxy for all potentially scabies-related SSTIs.",FALSE,TRUE,"(79, 83, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,Our approach also assumes that healthcare utilization patterns in other divisions of Fiji were consistent with those observed in the Northern Division.,FALSE,TRUE,"(85, 89, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11466383,"Our findings are likely to be relevant to other countries in the Pacific, where the burden of scabies and the costs of treatment may be similar to that of Fiji.",FALSE,TRUE,"(155, 159, 'Fiji', 'Fiji')","Cell biology, Imaging"
PMC11385718,The strains (PGRG2 and PGRG5) were initially mapped to the reference genomes using Burrows-Wheeler aligner “mem” algorithm (BWA-mem) v.0.7.17 (5) and converted and sorted into BAM file using SAMtools v.0.1.18 (6).,FALSE,FALSE,"(191, 199, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11385718,A gapped consensus sequence was produced using SAMtools v.0.1.18 and BEDTools (7).,FALSE,FALSE,"(47, 55, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11385718,The coverage of consensus sequence was determined using SAMtools coverage with an overall coverage of 94.29% (PGRG2) and 95.93% (PGRG5).,FALSE,FALSE,"(56, 64, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
PMC11385718,"For the variant calling, SAMtools was used to identify the SNPs and InDels from the sorted BAM file of the mapping.",FALSE,FALSE,"(25, 33, 'SAMtools', 'samtools')","Mapping, Sequence analysis, Sequencing, Rare diseases"
